,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,167521367675.40805,6802008687.471425,70148602659.29443,159776468072.782,150529050884.74667,86700622181.02443,80930093060.3918
1980-02-29,63914812971.48765,5091525738.970022,17461521892.868973,74326406788.29732,28551618971.312836,22098840786.891445,21610274138.65665
1980-03-31,135969665858.68727,21455659995.427906,50431717568.44919,95406303755.41557,121802331710.5587,64573209274.15482,62368854072.49459
1980-04-30,75041906444.67413,2290381906.424698,22313871863.019447,72338435115.85962,53418958957.74487,30003676295.21864,19926502999.45958
1980-05-31,78362979865.92116,51855434846.09129,30852127112.45117,59319868416.47647,26831542702.536865,36957926085.25259,24563692225.90927
1980-06-30,48584580812.23309,-46827162242.81597,58089807253.23119,71169170225.02692,102838498819.88434,78520703139.28845,20328970396.830536
1980-07-31,-218635295641.53326,-154382124137.9464,-95064511921.47809,29042428197.262524,136808953316.42725,-7249890609.1789465,-205503251785.45682
1980-08-31,159507887443.12796,-108560372797.06622,153850574851.55048,91741629134.59933,256448647104.958,85967277489.40878,132128703127.09834
1980-09-30,109759607449.02457,35817336657.95299,60116206775.48245,78215580770.4686,94075908058.39879,53953920816.05228,46455624123.67399
1980-10-31,58176541445.437485,86035601417.66515,14084152993.91503,21373748813.11979,-3991485.836690976,17692987123.704025,11656306575.563211
1980-11-30,258740069201.56894,29130199127.734425,111431999109.65355,255628632511.82513,287889400136.2995,181178624464.8312,128778123952.91785
1980-12-31,65469722997.95906,3762683421.7867975,17427002829.286106,75019550248.02553,31846654169.63501,27611600209.489944,20566024414.185184
1981-01-31,77500866985.78888,3922252485.2133174,19404177074.76047,63143079336.493935,24355836123.97605,19254062009.165485,21805133682.658176
1981-02-28,65786177543.15089,18013481110.608856,9509204627.821926,58966793378.74006,29588576037.102974,18553886710.13437,10169295175.212849
1981-03-31,76611269667.54015,3745153089.530937,17256535952.999886,48856230822.112724,26025647193.27777,22131192481.747402,19680524645.588463
1981-04-30,99446913987.46852,3773874400.5870237,26859313381.654114,69495724217.40405,35976824043.76159,29246321565.548733,27963309449.891525
1981-05-31,137947827146.77393,27033345555.127407,52261435080.3323,91280227712.50172,90703255408.9277,56686793494.25468,47108330887.577194
1981-06-30,-178049048715.2499,-37043677596.45354,-126347232568.01997,-12472178117.35615,-17463870581.857403,-80172348308.40904,-173969703922.46732
1981-07-31,-381262324788.47125,-149158532182.5462,-218588026712.4744,-75034166473.06497,-15058003126.225958,-213494414147.82877,-357128073529.74304
1981-08-31,135729005475.5391,-26765540782.6013,112846508699.8192,102741885131.8375,314493578005.7356,103127671553.71005,61879520764.484436
1981-09-30,192209299500.6487,37377957827.53174,103751969046.57468,86680382732.29741,164725450681.99957,113447616258.65776,82599757171.7491
1981-10-31,189566775339.52588,82658408337.88356,82078397672.7557,120955850957.76181,190639897803.5091,99389738347.98918,88515476225.22542
1981-11-30,166254647144.09293,30786195204.553635,60222316288.71517,115331773828.18683,119697512072.51707,70637710101.91263,69476839285.80927
1981-12-31,91853662136.88486,57299664215.55527,25477586406.43992,73487924154.71173,59386319450.022,45571128388.16063,27412699741.724277
1982-01-31,142105935280.81442,55181391652.91973,58215170009.492836,111082184278.31458,128226455391.80144,69891327607.41318,67951521946.16387
1982-02-28,48358032421.99834,26039098016.760155,1805044138.4288867,14695731797.68631,-3685368228.8528967,3390768061.018753,2978887296.8438845
1982-03-31,106475772112.54138,94490707622.70067,34492012865.46817,105083970698.05554,93422503684.11545,49993206976.87195,38847648838.12398
1982-04-30,89239072304.12778,19598931364.46865,24101855659.74315,50394876280.30288,34669321312.338394,20087031634.91217,25896634187.13127
1982-05-31,70234174667.45601,27802436708.611332,15587535704.466228,29691656040.07391,17076006414.536543,16892213741.888868,4080136213.8418107
1982-06-30,-253730136245.35898,-30631675296.869923,-158985450891.1625,-6667224719.7737,-67536328416.76127,-3208811358.3670964,-214097194636.3346
1982-07-31,-320046231114.6433,-123255693288.2728,-196910787922.2245,-64128593346.73026,18106287073.41701,-158586067532.70215,-352351574991.5022
1982-08-31,-33557976493.272453,-68414451099.80193,10447285623.240002,25177909879.903442,132892074236.9773,44580295921.291756,-42077228774.85456
1982-09-30,173476267789.67685,52066096960.62869,67293781564.865585,110519882014.84119,164035647545.92856,70013315453.47147,74057962189.61073
1982-10-31,80065785340.99931,121138085117.80328,18963249889.010845,24095212674.552074,4295551907.856213,21559366155.50654,19753958294.680138
1982-11-30,94025330529.67017,29372579454.351974,27319288650.528893,47602807678.62891,38776675206.85637,18670705605.18783,30584029953.408447
1982-12-31,61754880890.537964,33735855580.14957,9574443257.538954,37798662995.08314,9226422798.050327,13293644265.090523,10243367307.29793
1983-01-31,37771590183.07996,24557924814.973454,178013.98724925693,11779499052.846365,-1685988890.1386607,1157339365.7614703,725627123.4159627
1983-02-28,66552980297.41654,32899310481.88779,16615597460.368193,64505167366.96417,33685394007.15601,22533831091.41436,18905239644.726162
1983-03-31,66757896338.22229,25687225513.014874,17836093681.832684,79732666230.84416,43101856390.439384,24039049924.039604,19216550519.351734
1983-04-30,90131946838.04034,25581246972.149593,30087817272.496414,94386374235.3933,49276159819.81037,35200571444.78416,30201627649.831688
1983-05-31,154133448310.99002,-5500103579.076348,56903513047.80823,132400476523.27646,146566227717.84686,83306563117.09068,52290889338.377396
1983-06-30,-25900676336.86141,-47914409548.34224,-29791732174.608665,61943568167.28729,35605886452.886734,61976967500.65069,-32818062278.930153
1983-07-31,-320392489887.25195,-84921428937.06161,-189695516995.72055,-89003402470.16048,-28018196645.695194,-115476977289.79466,-291057874815.6008
1983-08-31,-84963697478.75134,-55954700172.86777,-5988008844.934603,-22126230272.337727,38275165622.739555,4377459227.224168,-66425963661.65199
1983-09-30,25174621630.0273,96029086771.72076,33797348672.360962,23322447092.73334,7543975429.605026,28699982621.973392,23767156731.84319
1983-10-31,137770004130.56894,78858554055.81671,57479227794.45603,117621121571.10155,112588487731.81177,67993179473.667915,60376278924.44311
1983-11-30,112470929618.49246,17413174411.256744,45569964108.50564,86909954742.98053,99848174678.31703,69821722402.0667,51395758319.603584
1983-12-31,75458761262.83351,3483382404.974786,24298096664.773186,92249762450.75159,45029771878.25613,35118581374.285355,27803311568.400764
1984-01-31,57268650670.66891,3566769872.566314,3717262847.1443963,36940859332.54555,11471364861.20699,7087752348.194608,4440097268.010463
1984-02-29,51213160607.859505,4989484499.816494,0.0,17855747170.759697,-612450348.9328818,2935511367.6354613,52456183.99014977
1984-03-31,81057554206.80988,9701570514.211111,18487800386.1284,79925858785.65283,50413676033.393524,27931979347.77633,19894504305.692158
1984-04-30,52377143070.24723,23593314732.67875,339070455.1147149,29506058326.417248,387884598.52797747,7154410719.440795,-2063716850.4092422
1984-05-31,74571740765.95186,17128554611.03723,15638655401.793257,28811400500.513752,38554031309.41199,12658246850.220083,5446338359.845827
1984-06-30,9766387422.953049,-41116015027.648735,-1354683227.1858854,50972269868.43998,40963768644.608444,61437558630.42768,-20480753422.0844
1984-07-31,-390476817232.81085,-138489045484.8245,-222538613141.68393,-42121751877.80345,-67415777439.34169,-102541052026.97661,-329414307978.3766
1984-08-31,-31051126509.75879,-49863658517.25565,14061505736.28244,40328228704.29102,218113489640.53873,35422288439.972275,-54015384950.51335
1984-09-30,179903573191.6951,53378744204.94642,87213537319.85333,110962794617.95506,172946064868.10648,83761445810.84064,82505913446.50313
1984-10-31,100868198620.47841,40858144137.943504,33978279703.543064,38868228824.21157,26205239585.350693,33417151821.95115,33617042422.376125
1984-11-30,86740297946.08194,35435999066.50243,21860921902.1187,73511819313.87405,68927805952.78578,44520915599.64773,22907928436.673798
1984-12-31,94736506472.94684,25220992570.956676,26201464495.794937,98689017921.27194,77178254632.94838,49840292572.21128,28982059671.558403
1985-01-31,79104532561.24959,20904219419.257668,19823888028.65931,92646395962.56378,64966830862.036514,36314027030.80519,21337038516.532017
1985-02-28,58631171431.270645,9668075159.193268,6600989811.706466,54311428271.52273,20271623591.29397,13914167886.715204,6259162298.698533
1985-03-31,72098711369.06505,18925327260.5073,14850665432.67644,81421511313.56062,65732630095.67936,30734700372.426098,14568798436.976341
1985-04-30,94445303663.64822,5860524232.758921,24960820587.818085,92913986202.23756,73111758131.74208,38976580263.41657,24547885121.66687
