,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,2010578378275.0273,506969751892.52704,1592955365301.9324,1588251569562.875,2026122150146.1382,1723996281289.2734,2036993699114.1548
1980-02-29,893598993185.0787,643373381435.2294,806586742165.2612,599767505265.2231,800516878681.078,939476838769.673,1070554831491.7684
1980-03-31,487035497331.8951,1670013853707.9014,516632286075.0603,422575857443.7411,511963944256.4505,393629160758.74615,726520143527.6014
1980-04-30,326548182125.3826,730911688688.4587,387467167710.0616,221182561711.12357,294435795285.71484,215225809220.14194,469572487608.1425
1980-05-31,158092954811.91864,-1599091316.4338458,178554485242.41925,277450870635.0784,151575383600.44107,277835663721.3308,153750942819.18402
1980-06-30,-141972479160.9018,-36140280994.54242,42585856728.795166,-51979082349.869965,-235909991906.9518,359715954.7055767,33173505314.133305
1980-07-31,-372678346450.51514,-121233893569.2001,-100505422823.84319,-286549595766.14655,-406459289365.9391,-308905726782.3175,-84704659798.75769
1980-08-31,-461011626026.51636,-48209782166.74032,-258712737991.30066,-309199448526.20685,-632847082194.295,-345284070123.3283,-398607620382.4139
1980-09-30,5712476670.79056,313245701130.18756,171994894413.0319,-27835737721.178677,662802494.3601065,29771451669.757706,36932888735.826515
1980-10-31,864780601413.7173,282642969904.90857,762080002631.6143,692987459500.3447,748623098918.4379,961366405790.634,909368345963.0299
1980-11-30,506777653728.6213,633711975671.0826,568570475783.4749,478540222417.46545,622173160730.5686,525841032932.2491,708336797257.1755
1980-12-31,621353977578.1106,315699603869.7793,687762147838.5839,741561470047.0062,555035563816.7063,728993275766.5952,926259475779.1586
1981-01-31,577668453268.1765,314389408416.84125,599006437926.599,479461795226.5039,685358091996.8801,500050262748.89465,839116734567.1904
1981-02-28,364391177410.0201,251967633963.56146,300358955196.9596,159716806972.4254,119109298606.2887,173415009678.90466,433722557222.72815
1981-03-31,260425539204.27228,692891211781.074,205646161428.95905,139240410916.24908,118878176962.3584,227548760150.9473,253157285474.812
1981-04-30,474629095200.02936,648843256999.8451,560810536555.3792,413352009516.52594,509944239079.92487,442078419504.8397,662332301285.5175
1981-05-31,745160625802.268,220398159183.91644,739645600295.1368,503319075439.8726,680531355239.7454,555522576972.632,784449943977.4541
1981-06-30,-218796466015.03482,-39683184758.54117,-33767392309.679535,-145003661348.21274,-365592832165.17053,-130908918477.06233,-40305990953.57072
1981-07-31,-588777824624.2751,59526755926.57351,-75025947918.05402,-616795969749.1648,-698979936941.4644,-394201510364.9501,-159532202082.86728
1981-08-31,-476570242444.988,-109793696413.69261,-188730310197.6696,-521772811358.82764,-443085636691.8694,-462002709943.8956,-398627570194.273
1981-09-30,149208898040.42078,325014231860.13245,240909921174.90143,-13421010822.4353,-193528824306.67105,160972022287.93567,60611882118.92471
1981-10-31,353217321906.5768,288394273556.7285,325893665378.9086,156458781619.89862,152909986855.98956,187702961161.09195,441349729478.9208
1981-11-30,510772634142.4363,266889827984.24698,502773235369.29846,321484911484.18054,371745199679.7717,414086904469.11096,639149875121.924
1981-12-31,474663155431.1976,1036495911896.8381,402365383794.581,614433456834.2162,503152442205.866,432440599203.32526,556924232725.6371
1982-01-31,825835729841.4417,794160460947.4208,668996667115.7865,644134292438.3445,833148541244.4646,574143700279.73,908049970481.8766
1982-02-28,828630008401.6736,588023622190.7067,561540073094.2649,467476412462.12115,620447109244.6765,494135031847.88257,777929760376.9369
1982-03-31,518205147862.9789,1162486538947.9023,509439263665.56934,329902457060.81354,414322040450.648,434717824104.9237,709452362232.915
1982-04-30,474404895381.5887,365387967575.44586,575953403936.4452,352279229188.4123,668323878126.4097,417865162439.47516,702872860164.8179
1982-05-31,177633784406.18442,308184897606.1164,198612238813.87607,29252221004.027634,56908941328.005394,192811462492.617,172732207265.3431
1982-06-30,103908556572.02666,333746004075.1173,169896776956.3383,102852289580.77365,48791461655.98843,253605258422.6748,122582192816.80383
1982-07-31,-389184206331.2925,-247769875018.08154,2836154166.1622095,-300445066050.897,-353901653288.6965,-247514805685.43683,-19194237809.76446
1982-08-31,102447506915.39586,-202771569119.34732,438340470361.535,-118107596471.34146,180994172878.0054,114893258423.48216,341132678331.52606
1982-09-30,465928610607.4347,330587572763.4649,644852540272.3022,269064751285.06393,522123794253.73553,430237149371.64294,697471930819.9412
1982-10-31,980250910426.5171,460979086351.07855,815743181316.5212,656115943138.0411,762214745682.4589,758084612057.2938,990174580551.193
1982-11-30,522132291050.9925,624059121056.132,527600988926.5131,357393906724.24457,372845458751.40216,451288081302.74603,706907451602.0435
1982-12-31,793758907211.2842,389032491250.78534,877290518791.2837,574144107047.7529,876211368299.7234,754132126354.8069,1164941785409.931
1983-01-31,293794902545.08954,611967255160.977,248591704601.8422,196577802269.72003,274445116047.0336,156031871826.17813,382599069675.8964
1983-02-28,585437482857.3734,1117387210580.8232,584990145119.742,284012030500.41986,475875701118.69556,358935784113.1214,825227338048.4742
1983-03-31,293486294958.7001,817962715103.0251,287458384927.2244,182681300884.7549,152638380425.22003,201389506815.80576,378200496868.2822
1983-04-30,370902950350.30615,210333396477.48822,440645886230.93713,84494318825.82698,75990018235.63593,261599441547.20847,542306217262.9475
1983-05-31,421727885072.5006,572689085593.9213,379001159293.31573,227251658909.8201,233318664240.51968,359114204677.32477,425295776914.37054
1983-06-30,-76495694469.71228,282963383776.5353,244231846792.61578,-68403583266.76508,-151092937230.28622,108061761404.55731,236095735793.66556
1983-07-31,-511629119151.2296,-235838925869.94214,-14434259425.721676,-599202622870.8444,-666881001257.6357,-409016743858.26025,-47788116799.39371
1983-08-31,-71465892971.85234,-75610576552.78645,115224411329.8831,-347825403136.00714,-129170152937.0652,-246743758542.23123,65708554179.51317
