,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,215220289877.7893,1.366525806563975e+45,135141943918.9563,481540793927.7599,311370709327.19635,360480246613.84503,130802466796.98106
1980-02-29,121859753344.66293,1.366525806563975e+45,69127288491.88039,270050400672.21045,165207235803.98404,202503552691.7558,63243012103.37673
1980-03-31,81600077456.33298,1.366525806563975e+45,44994883595.47098,154366709220.4956,126055981218.30055,82656095001.53413,40568765747.51868
1980-04-30,30459824141.059074,1.366525806563975e+45,23342636068.976696,78567030190.65456,28859237294.279713,36000455843.70527,14792262715.837233
1980-05-31,-57462382823.23527,1.366525806563975e+45,416617750.6121906,140906046196.3975,42333878465.57087,104497301233.04056,26153396363.708954
1980-06-30,-145654605226.24396,1.366525806563975e+45,-112511353831.45769,46210259327.05053,-42901474587.5062,64143462764.9926,-65582793723.13814
1980-07-31,-179624709401.56387,1.366525806563975e+45,-171151099848.81522,-70902560627.35878,-52510367338.34405,-20600520883.636093,-168902839297.59537
1980-08-31,-168837629099.65976,1.366525806563975e+45,-102537986865.04703,-126646382341.38055,-69106133840.75047,-75050537596.95566,-155661726507.65002
1980-09-30,-15689420214.620628,1.366525806563975e+45,24272099784.223747,26512877631.78561,49823417410.54577,59800053307.70882,-9977208579.852728
1980-10-31,51585415845.025185,1.366525806563975e+45,30777486027.45833,62093002004.59335,64441891716.6077,75405912541.71442,28319917896.872166
1980-11-30,120411169704.41829,1.366525806563975e+45,66116674906.43417,177201930393.80823,138643942749.90817,159578088992.84976,60675835028.569626
1980-12-31,38986914270.73365,1.366525806563975e+45,27951935833.286358,105830994632.33745,22368600475.715984,56037119916.68177,22679092959.52083
1981-01-31,48406254000.36516,1.366525806563975e+45,27970225864.00955,96359548022.94002,42782465192.496346,62521726575.280525,26049906681.561
1981-02-28,53748280735.20226,1.366525806563975e+45,31292272954.773556,104829229274.41621,34839238273.35291,50985597346.5232,26012030511.32149
1981-03-31,53205666574.178375,1.366525806563975e+45,26771167546.88464,87565982393.36334,44437185960.581406,41714224718.970345,23590189601.809906
1981-04-30,123507137167.5786,1.366525806563975e+45,78992432229.14986,217971009819.96133,161075806310.05692,169408161269.6614,67653835783.88727
1981-05-31,19181314336.76688,1.366525806563975e+45,36012320979.479706,98141551038.53311,41255525949.14921,72609978888.63687,32183120346.260937
1981-06-30,-154117092129.47894,1.366525806563975e+45,-129950103870.45062,21909103083.71626,-61265882465.24824,20489491845.087803,-85088486907.61572
1981-07-31,-194558700378.45776,1.366525806563975e+45,-232705221979.50186,-107387506245.3434,-80507123275.45636,-117840467324.81256,-222434403399.8809
1981-08-31,-154225525985.79276,1.366525806563975e+45,-108409901188.604,-122894970413.03346,-33885670289.274357,-77777677365.59343,-151351580601.4202
1981-09-30,-65970226801.14071,1.366525806563975e+45,-5653516827.221869,-46972560228.63874,-29363606713.538563,-10439818786.563019,-38887241372.36483
1981-10-31,24909805441.519424,1.366525806563975e+45,14783203062.326683,47660664759.28071,-340578892.71219194,25958670389.004063,9310422831.579182
1981-11-30,114020832595.25053,1.366525806563975e+45,61737321055.267555,178096577421.18362,115250630311.52077,164690787486.95486,57443914076.77565
1981-12-31,109078123859.64168,1.366525806563975e+45,62620325378.26363,242005374322.3915,77763380006.49266,182655220050.45615,53723973568.003586
1982-01-31,83685821485.21925,1.366525806563975e+45,47441204588.4714,231451762870.2839,99461936435.04294,118459688109.5398,44227871976.47023
1982-02-28,199095543295.60452,1.366525806563975e+45,109455292534.64725,498575699537.43695,226484791674.47488,269492914724.7706,104817494783.4898
1982-03-31,89532271776.88423,1.366525806563975e+45,52121017093.247116,259210353354.86304,122076156522.25421,117794292507.25081,44993642326.40073
1982-04-30,47954511691.60692,1.366525806563975e+45,36138017029.99681,117580843488.06583,72796871737.91223,67610706682.705734,27198896626.019497
1982-05-31,-16142873357.322067,1.366525806563975e+45,4331426374.069216,5315299633.678058,-7000359123.852439,-3379145517.693521,403266341.5892376
1982-06-30,-143366424999.3604,1.366525806563975e+45,-106506161847.93994,61950895433.57975,-53961719344.76218,44755354383.88583,-91173468163.38286
1982-07-31,-176929680782.20502,1.366525806563975e+45,-149381837365.3741,-41339350165.75299,-100452747066.01604,-78166157555.69092,-184984240768.27948
1982-08-31,-98956763425.10495,1.366525806563975e+45,-63263181562.97259,-29190295700.800186,-28306679958.838814,5861010318.276451,-72796675053.72334
1982-09-30,18268227363.752926,1.366525806563975e+45,22763260947.944473,22571525719.955555,15583192844.38075,33037697824.58126,17817756580.157772
1982-10-31,88258664753.14507,1.366525806563975e+45,73461951474.30472,264276703916.47266,124555163339.72664,164259860066.11856,71098238071.18915
1982-11-30,93390513070.1441,1.366525806563975e+45,51576750688.1583,196311400963.16388,79603844262.06635,115740669193.35083,46336585548.48795
1982-12-31,172237390383.32306,1.366525806563975e+45,108020206501.62683,511434707723.15466,250375132755.72937,270707152240.64044,103655595187.9366
1983-01-31,67500324570.50363,1.366525806563975e+45,40019028495.48582,312258184913.4446,84254422958.08629,94935260999.00679,36748969589.82752
1983-02-28,59319109873.001465,1.366525806563975e+45,46396036873.8927,78422770909.04967,75679315096.58311,70869497459.18358,41556537156.69341
1983-03-31,22020615105.502136,1.366525806563975e+45,8809808239.250183,44856621782.020386,2472180582.2437563,16520132190.839653,5561561672.758097
1983-04-30,50608633397.7688,1.366525806563975e+45,32098048696.92798,82139512991.06525,37376685566.37841,62675083223.73668,25619895602.910038
1983-05-31,-5451506300.677904,1.366525806563975e+45,22990154667.839874,60533604461.97314,28881640707.789852,33362420785.691525,28187818920.69229
1983-06-30,-125037881729.52333,1.366525806563975e+45,-100971145553.72539,59084270264.562675,-40593291901.432144,27836549536.21805,-54527084751.99141
1983-07-31,-157796604827.54263,1.366525806563975e+45,-119375937878.82063,-63388647156.545746,-83392379886.55052,-65994757477.65571,-107519277519.30956
1983-08-31,-52842759161.153824,1.366525806563975e+45,-10444591092.898632,-36153654936.59956,35693560518.25124,-8784434828.357325,1129891692.5815508
1983-09-30,45207110837.07934,1.366525806563975e+45,58430510919.759315,5982670696.450266,76190482471.00912,78904819258.68532,43794468340.228264
1983-10-31,84713288438.83725,1.366525806563975e+45,50248327755.025696,192619036973.88977,64064509631.5532,115391919293.58812,45231233910.497406
1983-11-30,134662643516.3789,1.366525806563975e+45,78870540103.18611,267275267148.2901,127316839565.69165,151627378413.64105,72708833828.2348
1983-12-31,53344882782.12895,1.366525806563975e+45,28439342487.406563,182196348889.10123,58565668311.722755,62444020530.46569,24427451768.56354
1984-01-31,86346488687.2913,1.366525806563975e+45,45323081378.88052,314791362920.97473,83497990718.99765,142474852136.1155,43570400519.82594
1984-02-29,102803232528.37175,1.366525806563975e+45,57273220526.69309,478722661835.3351,200866601846.5388,147971784963.6395,48472408069.97653
1984-03-31,104393696596.12773,1.366525806563975e+45,56979715086.06401,178165815018.32825,117743184046.87492,115258072555.52502,52226751801.28761
1984-04-30,120526770264.31123,1.366525806563975e+45,67297082331.31141,219329126918.34607,165492508238.9365,136692171820.91617,59098193609.188034
1984-05-31,18768532414.992725,1.366525806563975e+45,39903250211.62894,85281098732.89317,50972626729.38113,59465088982.53007,33498888994.174217
1984-06-30,-103036892009.46097,1.366525806563975e+45,-68492805850.53171,78737957195.92035,13449802230.170177,61676385032.33604,-4924741899.915881
1984-07-31,-159483335331.61145,1.366525806563975e+45,-135911687875.38065,-3210182198.721327,-121259418181.60638,-78422242941.41234,-137222243150.0131
1984-08-31,-86005482399.46858,1.366525806563975e+45,-43877126080.67729,-150158581561.54245,-34985009807.505005,-50506085704.657104,-38012054414.22227
1984-09-30,27428463110.817585,1.366525806563975e+45,57873203386.86615,227825329199.23306,108230959279.8892,207487592234.87793,28145737248.649822
1984-10-31,107300763050.96228,1.366525806563975e+45,74593975526.38464,430435326086.69244,174061812828.88174,223913808849.0289,61095631608.54508
1984-11-30,148219831588.94476,1.366525806563975e+45,85585841979.5195,454125905052.4116,131573656833.23665,271283396066.75674,80688628047.49086
1984-12-31,191865321942.24414,1.366525806563975e+45,116317460773.79956,479414421199.6169,210277494098.91092,270428470995.97305,110039952284.21193
1985-01-31,175122826659.04816,1.366525806563975e+45,112130716883.20152,419867233171.3817,226674977317.01868,267659079500.1317,103549814183.38722
1985-02-28,109734601280.91698,1.366525806563975e+45,61375566305.03329,213982837599.50772,137633447959.98636,111866566299.05226,53998237468.17035
1985-03-31,124796933103.62402,1.366525806563975e+45,74505074785.09059,361937546586.93884,164755910092.25272,232617623626.7353,68872213467.83035
1985-04-30,64985362862.21449,1.366525806563975e+45,44776512538.29683,128251982590.69019,91156250356.4343,93941751258.29945,40731009877.824196
1985-05-31,-3503650317.049957,1.366525806563975e+45,35771730044.69149,295616141419.1262,212678352494.69998,239628714530.7256,76765637597.23346
1985-06-30,-165121649404.60696,1.366525806563975e+45,-149065525323.47327,41115783124.49507,-42102167555.42591,21427783629.51915,-115894069915.12733
1985-07-31,-167579674220.82477,1.366525806563975e+45,-154074534429.06122,35669413897.68641,-48326598884.0024,-16674449202.726398,-155046799597.3706
1985-08-31,-142378443371.58334,1.366525806563975e+45,-74648416466.3456,-134633013473.11064,-56526976646.953865,-34120900209.736645,-106305230329.46414
1985-09-30,-45655560332.94982,1.366525806563975e+45,-1593928129.563205,-42454553771.14845,-16535685477.36622,-8514267819.311424,-7918535861.40775
1985-10-31,69829032157.08972,1.366525806563975e+45,55431532169.29593,183347392990.2706,124478992208.22589,125053811842.14438,48839277667.85684
1985-11-30,80253145857.69214,1.366525806563975e+45,48646205336.86054,146639747409.51514,114803320781.82402,86588381217.59485,43096090711.149254
