,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,671101558215.6384,117917374004.59862,424749498244.6448,857467170951.0732,627521733114.3258,729787260386.6849,1.956232848793171e+44
1980-02-29,281717400928.74554,157222831200.6141,221493942608.03372,351055325519.54266,266883096589.8254,327276595087.6177,1.956232848793171e+44
1980-03-31,151598770502.75095,354931696562.57074,151237223434.25378,174317872522.11383,115416567515.41483,153595514253.0484,1.956232848793171e+44
1980-04-30,70014317132.04025,115811694429.2702,112824257722.60638,132521731032.75081,68474674493.92388,86197998857.99905,1.956232848793171e+44
1980-05-31,-173105105860.40625,-177287671060.14883,-60816499693.19926,118000806285.2129,-55627609295.3644,131617890716.41139,1.956232848793171e+44
1980-06-30,-328146288871.5536,-266250806144.04675,-211735112433.02945,-193114982369.42075,-269399835800.22363,-108412636152.66899,1.956232848793171e+44
1980-07-31,-425412055537.7584,-457279479464.61145,-389731125099.9898,-442025623666.2716,-398860927943.9397,-346310933304.7281,1.956232848793171e+44
1980-08-31,-420001449806.64716,-455945302135.48773,-290123259916.06055,-281635819113.66327,-395206126950.3668,-290496159254.6334,1.956232848793171e+44
1980-09-30,-150281639435.14575,-178200626289.68408,8322001668.682352,-62557768549.34729,-92402836170.0273,-2763972747.2713113,1.956232848793171e+44
1980-10-31,281987195489.1792,61664439640.96892,246772198478.31796,421051065312.18085,321122995012.6738,404674485173.1963,1.956232848793171e+44
1980-11-30,175561306162.31882,151138966706.47043,171447065724.03876,233454482130.675,202833420209.61194,182919564654.63867,1.956232848793171e+44
1980-12-31,232713667504.4874,73501247706.99791,220253910308.4386,322048104525.8223,198218405106.73392,263162020215.67505,1.956232848793171e+44
1981-01-31,211264836637.14017,97892648587.0992,195815425971.6958,240275947356.04953,230137682184.4413,178450511243.29715,1.956232848793171e+44
1981-02-28,127604201352.0646,66602704664.380714,91835746521.5777,49867445359.57182,1226522860.0346873,49902425424.929115,1.956232848793171e+44
1981-03-31,96225167683.53484,194554147905.99368,58837915437.385284,97549025360.5886,39160355569.958855,80041849668.56381,1.956232848793171e+44
1981-04-30,131953852853.2433,167597917338.7422,160487784748.3285,229913848485.82755,115712338975.93723,157152645967.76236,1.956232848793171e+44
1981-05-31,41357205920.61913,-8204209230.950049,141067837474.96085,200536120827.35147,202929653609.9943,225335271334.60107,1.956232848793171e+44
1981-06-30,-356518029128.5777,-249122916004.61066,-275810607188.20355,-238561157010.11365,-310665715032.9788,-153569832161.3436,1.956232848793171e+44
1981-07-31,-463552545188.94037,-382071793180.1547,-358905503710.4727,-633960171357.0791,-450338591641.58,-498572896853.95166,1.956232848793171e+44
1981-08-31,-428084694228.072,-447087799624.5868,-280594489670.407,-454876961826.58453,-372108451253.7948,-381953091854.55536,1.956232848793171e+44
1981-09-30,-190253518041.24326,-118292684944.94623,-10307361445.694902,-72256693522.18672,-142533554680.72604,-26238181016.342674,1.956232848793171e+44
1981-10-31,112301472696.03297,65578441161.44542,112628606665.13676,100753706817.17732,55958634132.03734,75488805743.76558,1.956232848793171e+44
1981-11-30,185170096951.35452,67003576525.863144,149406863851.44424,145202592226.21213,118592907470.08807,162352392968.07962,1.956232848793171e+44
1981-12-31,187268445835.1896,245453636564.54883,125580658804.66968,337847010229.8806,161983179003.3314,198182016308.0843,1.956232848793171e+44
1982-01-31,312327002441.8214,283562350145.53357,219228568860.69336,412514010513.40594,274062739396.75946,260336861575.12817,1.956232848793171e+44
1982-02-28,160567600771.8214,152693017919.08887,112235992039.58774,217511197653.8743,145510998605.94547,138337928822.25797,1.956232848793171e+44
1982-03-31,175749091477.11322,293697167602.6876,147095405970.9419,185581308775.49103,145583809131.60785,200997695609.082,1.956232848793171e+44
1982-04-30,121097948257.68756,74241170048.62401,177613521514.58554,189871279604.39435,213496378983.81894,177662940825.19604,1.956232848793171e+44
1982-05-31,-81296283262.15266,-3485189035.9068227,2734893350.73984,44556245936.402176,-7800665593.327804,90479719937.79688,1.956232848793171e+44
1982-06-30,-269827136778.0638,-122387595057.15736,-178110827728.44608,-64934044012.46173,-124193415928.70538,75712384356.7903,1.956232848793171e+44
1982-07-31,-398394089607.8153,-424680073696.93524,-251443855016.9172,-485130643781.9598,-385640603604.0563,-316137629232.65625,1.956232848793171e+44
1982-08-31,-254057819171.7944,-366178421740.02563,-73676407787.53128,-251124545149.91046,-124257640958.89996,-162350208322.82477,1.956232848793171e+44
1982-09-30,59798368756.43219,-81256985146.88078,187688510907.94556,112533934755.26212,139459268686.65137,188011013980.6354,1.956232848793171e+44
1982-10-31,157805437829.64938,87567015268.23619,183752304262.00867,290675853153.6441,170082379012.20294,253723945347.77866,1.956232848793171e+44
1982-11-30,169140180468.36957,160643657907.89597,142344657209.2058,146855137322.7928,101462192552.39847,134877189390.75748,1.956232848793171e+44
