,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,280261180483.67084,143010587981.8657,240394724222.83386,277429389289.09045,248543168678.93158,262608050134.96768,214500520162.6939
1980-02-29,249478606243.99457,102888798591.39885,193281169295.97458,234124611766.0913,238581456844.05942,216714568289.4055,184878446020.9469
1980-03-31,232020432700.5472,256956147797.88208,190433515833.00995,219632865772.62033,224838122724.37363,212654105132.2408,170155976713.70883
1980-04-30,278451730651.31006,120473986356.14337,216039902168.26593,275629729720.6905,234571507988.56454,236337907472.78818,184369110870.05267
1980-05-31,218892341796.58603,365073020438.4688,278839555627.3221,202088865781.91486,237598486715.54877,264900863428.72397,128837829096.5779
1980-06-30,39069927943.38942,93955345654.00853,118158671477.68625,168311658779.7689,193683447845.54874,127093534534.49234,-80379916241.85826
1980-07-31,-433435314702.5548,-21150325283.767494,-129087217587.69458,-17624382752.349792,96439878053.2739,-52702761823.427574,-499020973151.4364
1980-08-31,-248098685388.99063,114438476043.127,-100149385395.5842,-100563420294.86032,-38673591352.99946,-101493396290.5611,-288772257042.47284
1980-09-30,139498872318.98947,266917284853.81467,170794763236.7956,242324722911.57742,178608528390.49976,199848062617.95966,124304045934.17874
1980-10-31,242755308755.5284,145748388285.91833,209047260326.78235,292096364560.5775,245419545016.5312,263236563613.6,181542490880.96075
1980-11-30,400208808761.5299,262118343068.7777,356692075484.5697,404544101650.16693,427374798097.7282,394138530906.1665,351587488668.07166
1980-12-31,205708264789.91895,114854248669.92877,161087402586.6861,244107533896.57535,193063447425.74295,189598255186.69583,157200154582.76215
1981-01-31,234555507052.412,74592335439.2818,194762073064.278,300525567520.95044,268658349146.14627,250643176149.18042,191148899233.51047
1981-02-28,199657878131.1848,74867969096.81232,141014608239.50537,198049827971.55795,184631290891.08914,162321478874.9766,135183314108.67166
1981-03-31,127691390828.4754,266177069458.84045,82712591118.25531,141951275395.8717,75449356694.7403,122536064637.02464,65481678569.96063
1981-04-30,320862002955.63275,234970500634.51263,277081381984.9247,366715056676.49695,295890162052.10065,315891365468.2572,226742642135.8872
1981-05-31,242091214074.1126,98577742909.25345,239645220968.33453,262333669146.75623,191470366910.06393,233107372849.32584,135797048865.23416
1981-06-30,-253119469084.1396,363674297551.6624,-194082361628.9605,56852043734.8502,-42949036385.63132,-27154017534.017513,-340981731250.86163
