,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,955579044031.019,462765200502.43225,780772303953.1528,904063715194.2422,1067082003097.4646,832232266350.3733,1.7981089294694452e+42
1980-02-29,661401152464.2899,333117203806.4854,459731632315.4459,578492368585.9946,515928478012.8574,592792972650.443,1.7981089294694452e+42
1980-03-31,998226937355.3696,941450153137.1919,778682231233.5411,1004452791115.6737,1093637918354.1499,953718608716.4424,1.7981089294694452e+42
1980-04-30,708411847051.1067,485122913721.8538,490392917321.7515,572714092506.8638,470877757377.0154,577228758113.2299,1.7981089294694452e+42
1980-05-31,1272896828015.6045,1567703181209.7393,1321527569431.0098,1458455140708.708,1225312347457.7676,1542504032696.2651,1.7981089294694452e+42
1980-06-30,1167288989383.576,549031863873.4011,1619747367853.2366,1441012035805.2568,1816791153822.403,1720427354271.5842,1.7981089294694452e+42
1980-07-31,-960794263537.5104,-28682096539.681698,47207316423.19946,420661824499.944,748960429057.4741,635811362931.1423,1.7981089294694452e+42
1980-08-31,32065085998.492958,593099250686.7141,583457447503.2268,160429737674.6798,594254942401.9622,575371645806.2546,1.7981089294694452e+42
1980-09-30,540489686163.76276,1136157064238.7285,444661300895.7403,660500810388.4989,485614306745.4477,634162973552.2192,1.7981089294694452e+42
1980-10-31,604334738512.2214,699395406600.5238,447305067927.46234,943315900914.7947,537266306097.16034,607866009167.1608,1.7981089294694452e+42
1980-11-30,1134676430300.5815,838391956512.5498,941033349842.3339,1021931447883.8312,1238169305700.8535,1021262577920.7738,1.7981089294694452e+42
1980-12-31,682251804082.0941,346365008611.08014,489608248452.03217,698514789560.963,593665359401.6975,598478441145.885,1.7981089294694452e+42
1981-01-31,660163412259.6345,197780263150.924,459052740136.34875,759510338310.4517,626676713744.3578,617109597816.3627,1.7981089294694452e+42
1981-02-28,453751493988.5708,284095211453.308,255202381984.96295,356768761384.5514,320329820688.6449,356627896606.36316,1.7981089294694452e+42
1981-03-31,510128826677.7309,770306410544.6996,328424584830.3654,433649662255.22595,413507302732.51483,420429820712.40985,1.7981089294694452e+42
1981-04-30,974784885693.303,502253224313.25995,814915334390.4802,1036665178675.7593,845355849548.523,957061176269.0172,1.7981089294694452e+42
1981-05-31,821227729288.0295,426510730103.38245,719485570585.6606,606670938230.1356,562641863218.8717,690658911223.4065,1.7981089294694452e+42
1981-06-30,-808714926822.8187,1134655573131.9998,-603270675208.8431,390526693969.46484,61956337815.91377,95898756409.798,1.7981089294694452e+42
1981-07-31,-1126030284512.649,195065868671.1873,-373097290961.5514,-79659678751.33769,320660514724.9613,-365478628422.2407,1.7981089294694452e+42
1981-08-31,570980139445.6837,46369418936.15747,1168307175450.5605,858024909742.3928,1127643459355.0662,1068145872761.7527,1.7981089294694452e+42
1981-09-30,1102287878292.046,1971368058256.8467,1001165218656.4338,1084243252363.4382,750776152956.7009,1022696540765.4817,1.7981089294694452e+42
1981-10-31,1298667047292.4844,913470571694.6191,1095874381706.1509,1418339852882.0364,1201216651014.4453,1287828879683.7136,1.7981089294694452e+42
1981-11-30,612417025556.612,823370063609.3301,433556776955.4699,446555781168.9477,494296261320.48926,423705731768.1319,1.7981089294694452e+42
1981-12-31,697564633026.6107,2214348372421.453,539160962521.9308,695677641218.8739,542068544439.3809,653842931335.375,1.7981089294694452e+42
1982-01-31,668443324864.3623,855077185535.869,524217846704.6156,643225182327.7924,571848819468.8981,678771959332.9877,1.7981089294694452e+42
1982-02-28,450091023759.22217,745548423843.2644,311000110641.5473,338231975683.4169,229901287282.18732,368577130049.87427,1.7981089294694452e+42
1982-03-31,489447960916.2325,1001450995292.4423,362934865555.77386,468519934833.85516,440515194224.9922,472624583354.5628,1.7981089294694452e+42
1982-04-30,1004102060647.1733,1235625734121.906,847034684435.4727,1109126775648.3252,1144761948097.2273,995682840786.3885,1.7981089294694452e+42
1982-05-31,586214331669.8141,303650634638.2776,470442303533.4339,495500660365.7447,397381812222.827,512924006372.2227,1.7981089294694452e+42
1982-06-30,-752113528407.7804,567520658458.6838,-419825269792.1425,-33109541.06017527,-328243276008.1932,185889097380.55396,1.7981089294694452e+42
1982-07-31,-987643740552.9631,-1043348100531.0748,-650637922940.1514,-130302162130.15971,231428635006.5809,-410107130952.1904,1.7981089294694452e+42
1982-08-31,47938394738.38819,1217923653849.6829,599902651870.3372,59219687219.79246,337878331142.7583,186809154822.54178,1.7981089294694452e+42
1982-09-30,778055550717.8335,876262156372.6714,652315565147.4324,852868323207.6252,653746643223.678,866122673993.5573,1.7981089294694452e+42
1982-10-31,956830755300.3418,800817707059.3193,853993372292.7416,782891445215.0248,946096502415.1106,868509659545.4801,1.7981089294694452e+42
1982-11-30,412905325684.202,272866658698.72812,287293852053.9713,361940153891.0829,319217940287.3334,354082947092.0167,1.7981089294694452e+42
1982-12-31,518236811764.2317,735198246544.5923,408261644780.19727,547440010454.5595,504629297705.48315,578829343969.9683,1.7981089294694452e+42
1983-01-31,271734835581.94342,796168321450.7012,140384396269.61603,155878330453.47067,169706766261.30704,212581325960.38373,1.7981089294694452e+42
1983-02-28,1419773726390.886,1692128433764.593,1206987973787.2756,1411931940240.853,1618163882070.7212,1343090522674.5886,1.7981089294694452e+42
1983-03-31,478789669712.3038,953483061883.259,343995934988.01776,520559295066.9582,523399121309.0521,469695968687.45544,1.7981089294694452e+42
1983-04-30,1623651670461.5396,964116452205.3053,1361278638849.2239,1801204691278.195,1748902174456.1355,1637193906055.3625,1.7981089294694452e+42
1983-05-31,770650108631.3344,21279004620.781548,660417849886.5632,669107750643.5166,405966814742.88446,690174869322.621,1.7981089294694452e+42
1983-06-30,281520985154.8591,-106060155254.9114,664288868703.3773,466050329043.8891,325334290188.7936,651161079952.3705,1.7981089294694452e+42
1983-07-31,-577999325454.2761,352737308400.9912,18764646380.020603,431604781577.7527,569298511367.2151,352628542332.41595,1.7981089294694452e+42
1983-08-31,442019816473.3251,138905135627.47864,678076843856.7936,257846637757.68338,740470101974.7434,655265738356.9353,1.7981089294694452e+42
1983-09-30,859982620165.6509,1720599057921.376,823758654463.1108,853034903591.1208,838847808269.0454,1080182346694.9155,1.7981089294694452e+42
1983-10-31,607395697230.8624,1224975978769.9534,503356940498.9253,812916694678.0491,645407773548.1877,707097421989.5448,1.7981089294694452e+42
1983-11-30,1007906584867.7999,1020787007084.5903,866056998842.5037,1122062818961.1548,1121533060441.0498,986319850350.663,1.7981089294694452e+42
1983-12-31,522324065238.2952,405502438998.745,401085778205.44714,363843308027.1276,490487901392.7253,477439292769.0885,1.7981089294694452e+42
1984-01-31,360855306190.92224,477282761894.93994,151796607880.43356,225488210279.4128,128916196086.90231,276622200345.04376,1.7981089294694452e+42
1984-02-29,317564099045.2378,304169856996.6897,104292273105.8594,257510278413.70435,154212531978.53955,243565900619.8217,1.7981089294694452e+42
1984-03-31,755260887504.4319,721047871308.2288,556973971255.5775,647699970313.4453,692760137862.3195,657728112372.1383,1.7981089294694452e+42
1984-04-30,427330509178.97534,639246375057.4598,222570930828.01532,417598137464.0135,307550656806.31,319679747822.4519,1.7981089294694452e+42
1984-05-31,1045631058421.2047,817027017952.7352,868708011964.6475,925601368429.8378,848368663476.4878,959086553525.3291,1.7981089294694452e+42
1984-06-30,1180530682271.518,289090702187.0284,1649639208452.0454,1286840412546.2173,1206197703164.9849,1744467354059.4048,1.7981089294694452e+42
