,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,986617524430.5963,667326004262.7678,1131564641704.1106,974928157025.5305,1369727484219.421,999494156908.7885,1284539956344.579
1980-02-29,760619714377.3944,472634254947.7182,749350579106.7203,858448446720.0715,843221802230.5643,811365308469.3,798505855473.672
1980-03-31,554225525253.2144,1276593410581.345,534911967118.4499,481454231675.57904,936887554821.6394,448280582732.7315,577540907910.0045
1980-04-30,347015520475.65686,244353424290.52484,320759036606.71936,376710026848.29224,267387887403.53998,314551985258.0268,282422514281.9655
1980-05-31,467711526559.3743,156708743125.28778,652369341391.704,666017552985.9364,675121108115.9686,738326910761.0195,584652785798.8785
1980-06-30,39321748868.620125,131809929955.49448,319116585686.0992,425901483983.80524,177184040829.39285,573721487955.0065,301794523833.17346
1980-07-31,-263590581986.5214,364586795160.245,213333986985.6257,215588258028.05222,137603598145.59488,200796227490.19147,113394658908.44623
1980-08-31,-151122901384.21213,658645318101.6685,-10730488777.541325,-228606581440.1354,-193696692230.82068,-128540335592.32724,-236324715819.47568
1980-09-30,316379533235.1997,1039432164628.4598,354730530378.7405,243437450224.5259,405724069342.2374,346782919951.5462,281394025254.53375
1980-10-31,335018249965.9102,265641174765.86722,297683152478.2479,286467719093.72675,311758196133.3184,366515725281.8695,311196568240.4706
1980-11-30,811016685819.1881,642819961464.2195,792653928416.5753,629741274632.5812,968443541063.4518,831482717087.1223,853177422694.6343
1980-12-31,332768226220.66943,618016974840.4214,318450523796.9564,332315326735.8015,263251414752.97678,297284414522.4269,314138766789.6727
1981-01-31,347069723004.6259,180182426448.2118,285209566349.4551,358980973637.21893,323031343799.4399,313758651354.28204,321822145450.926
1981-02-28,375959271612.76337,302695461251.8404,304409329752.59644,262777612268.7048,326726551320.0302,268099808301.94592,316830480414.0313
1981-03-31,303664760798.43536,678484563322.615,241761528311.74115,188614419872.35913,110445288716.3001,182100769889.93472,249997644864.8374
1981-04-30,906718331919.3984,454924211237.3955,959863990762.4391,879549862813.6517,1174631443757.6348,881891141735.6715,996651599521.8873
1981-05-31,454917825772.72577,276905253451.85913,440247133239.9561,418511380938.14386,467344625564.17395,492866093051.55835,410593369371.4583
1981-06-30,-94889878296.32675,246972958986.52036,67600490418.57376,133384902191.23988,-86800504473.86327,111455953496.18428,-6081518396.652308
1981-07-31,-507981439068.8208,265142178230.82687,28812458268.843884,-52950103603.0571,-53528172959.61235,-17011443582.215887,-116593001801.7717
1981-08-31,133652577853.27644,66024142003.011955,457604577569.35516,110923625715.63556,410501747124.449,179698720030.87018,229971951707.66537
1981-09-30,153138101826.5369,571307730986.8105,155911213915.7127,93829479038.60054,-10908063056.157412,78443839973.14803,68682848383.682205
1981-10-31,283067121830.64636,240310838823.81546,223712626751.5961,141995811741.26254,103515375093.32451,172559805227.91806,201688491523.11197
