,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,179870490138.40396,69147303780.60817,86147719495.29765,241167801694.5251,114927959087.71463,149187777862.47745,84355540445.13658
1980-02-29,147819643462.51868,38881085389.97313,67380670462.44194,240779593803.42395,92479621819.8136,128251329854.68028,60702195443.43053
1980-03-31,108985609149.05083,106190483630.0353,50381156918.01158,91818060908.53175,136321908214.9673,56398425084.90302,43038874466.06639
1980-04-30,62925036306.51816,15091410523.591959,27364609421.188644,72162934579.77719,22428539516.13509,27410066570.741848,18707542093.582092
1980-05-31,33135858482.456226,-4525696597.539945,66958711796.16084,144109284957.71613,54163490445.90517,86415947450.68475,60748515526.21923
1980-06-30,-140265837273.18576,-60226882735.021965,-88057180802.43498,33779488336.07282,-86843065602.36433,-95404007669.20593,-101758454512.67023
1980-07-31,-175061701912.97513,-159393874705.42657,-123651061666.12999,-128665100990.43965,-66649013628.83546,-321370080608.4703,-200821083750.79288
1980-08-31,-117261240284.1874,-142190364060.01608,-19871791534.544548,-155990394967.5825,-48312855677.32372,-147599053604.54114,-132989433681.1104
1980-09-30,40008745022.32042,29718443286.88361,27310195154.3333,17587764303.357162,35709509042.33685,15094093733.044535,2410202384.2755566
1980-10-31,66194179396.991295,24739864024.05545,28506142026.036514,32531880412.06627,42828418937.69226,30804443918.58511,24674745499.084488
1980-11-30,146553048931.20773,53545365471.57225,68743277245.26733,141776837004.3077,122297257810.26698,105200630284.84853,61809321482.75316
1980-12-31,56505478186.33444,52631770233.58049,24135894551.79523,63854056282.503265,12185486800.649614,24215937969.777203,20133071774.548244
1981-01-31,73241833920.68715,17662693534.259415,28279895741.485622,60725017285.69301,27705034419.72399,22662468004.31487,25518612797.61925
1981-02-28,66429274669.36655,31191436304.52176,25567962357.61306,78427333074.23344,20344362759.625507,35161533290.27061,21334708252.936825
1981-03-31,47429307835.911415,74164805182.89189,16573620556.887888,23606263465.444836,5840767755.71869,14082837833.272749,13714748676.203135
1981-04-30,191233937306.92337,45993669461.72758,91559425824.3673,187516333892.8381,131377833031.51447,135860116195.14621,80507277939.54512
1981-05-31,66505563649.52178,14898852168.814192,37614692991.17982,59722730754.36879,42686258530.92346,35840991654.186516,30099391248.746105
1981-06-30,-128388763390.68582,-36405146709.32258,-62578430144.97466,3987309298.23313,-79439751964.04605,-73259693714.12549,-85765592605.0184
1981-07-31,-196937085937.11063,-134373491370.11545,-167255753211.91037,-171077117611.03012,-93883395583.51411,-380638600616.90546,-248769430801.15604
1981-08-31,-116305184434.86374,-121904919719.5367,5487164313.026314,-127570826690.64104,-26521623459.206745,-191060692443.7207,-134550143901.7019
1981-09-30,-2389116682.36701,15347849936.40861,11220938779.684258,-44880926869.64317,-30637157142.434433,-16374632293.569145,-38075705662.66967
1981-10-31,34244123649.241283,20344919691.400944,10715691465.635645,13157444781.871332,28644161269.729404,13244350009.745615,7952597408.778368
1981-11-30,143429903416.30185,46056560368.63494,62266801977.65509,136051407558.32312,92877990751.26978,101576784181.60791,57297035568.987
1981-12-31,87071938169.71423,37345076255.93572,40978780119.47793,112889689293.26842,6528388255.827163,117334331435.21455,36059551819.20588
1982-01-31,70129763132.70883,21425345914.821667,29594755063.922382,72917444330.11809,38723064233.700294,45036774355.818726,26969746988.356762
1982-02-28,168965929372.27185,48616288458.87054,78948897480.16716,284963472914.2437,105528634259.84676,162215434180.0268,72166152186.87454
1982-03-31,85695779396.74176,68476646396.94202,40410669219.47729,100267453623.24777,64644233839.11454,52428423876.10199,32848906361.757965
1982-04-30,94377519483.26411,34640961958.153915,45765554433.472725,108185597830.92331,54828877689.96566,61661976423.536575,33108601810.576866
1982-05-31,18364615583.67564,7555650755.117789,5141221703.575918,4120796259.918587,-13608697331.60518,-4205470424.8207574,-751584045.7965196
1982-06-30,-152961397372.24362,-36399163370.76027,-104243568895.77174,51094757295.19838,-91286512875.1476,-7851165865.42646,-141033332992.37827
1982-07-31,-156084016035.9375,-194527477972.43704,-116436471798.0672,-129107280799.25757,-105374712423.5022,-317298413538.6542,-206103543321.84982
1982-08-31,-74801439878.83801,-152130312895.46704,22210743811.719597,-77059255982.71095,-47174670624.01766,-127784397496.08867,-110374222877.35779
1982-09-30,33210769919.23937,30189550330.80502,10760024783.345718,-17054787975.821058,-8875274434.209917,9321533731.7125,9279834397.903326
1982-10-31,97650858408.4943,38875159832.5361,50877548234.834335,71588494019.55435,39794047356.429726,58528241173.889984,47714185091.57818
1982-11-30,94295795042.80223,23680661818.516792,42513661567.61027,127194519065.12471,52878322879.13253,70465422005.92952,36801526736.34467
1982-12-31,108518334137.26457,43117225793.31569,54626350740.23467,170033234462.55865,79367793455.38437,73831711790.78517,49001860696.60468
1983-01-31,85509037904.84355,25000190893.706165,37129580861.4239,139815552370.30487,48315055565.59229,66376290733.23433,34486818629.99004
1983-02-28,164848044807.0852,102950972156.76599,78082402077.48935,84087696280.76718,119263159737.71793,62225512465.63193,69226074589.80058
1983-03-31,43180151230.35882,69371160755.5557,15366235796.288937,44009795163.41224,17425700618.899452,21100572524.05566,12197029991.661139
1983-04-30,73233283841.47235,30984894621.858315,30427411080.794083,70045517054.64326,41769365246.57917,47493816787.25888,23831741260.20272
1983-05-31,33800579157.33432,-2874736802.39672,23417200631.66426,64754504131.37689,568667433.8181815,24398776702.9639,16923777009.931921
1983-06-30,-102000774921.74918,-46299492266.55972,-17136658977.56113,62228526466.43585,-72288868209.20508,-15406051741.351614,-66774708226.94059
1983-07-31,-139509618930.20532,-149605369648.923,-56733426566.5381,-129742904599.53961,-88083741093.50853,-272389373036.16272,-111385108701.30884
1983-08-31,42713859840.03964,-136172269479.50218,49582501356.728325,-60152766137.13627,59718401880.73169,-48499765898.185844,24004654383.262207
1983-09-30,95664838540.5715,45849446012.083786,53267251392.40804,3373501277.344355,48235502346.741684,23018369209.519234,36644065831.58663
1983-10-31,95887434449.49376,72672294214.36942,42595722927.553604,103795911184.84239,31526131779.031128,72980929496.64136,38217116439.0162
1983-11-30,160890410902.14297,60974608076.10723,76478181960.77065,158745829875.17545,113068629163.27771,94318906369.66527,69983514315.40756
1983-12-31,60171167471.97157,23953331317.353302,23835225415.946136,96576708052.17618,29974856303.1637,34900422504.93737,21031949322.03556
1984-01-31,86071091885.96333,49132512841.75363,38599723213.39486,150684707453.65436,24344016265.01884,63621310705.54714,35262759805.75309
1984-02-29,128541328402.93701,35948695418.79255,55251863553.82233,203812437853.77948,107733434057.65105,100867189103.34778,51492907007.921165
1984-03-31,166896707187.9828,82466925537.08342,79410373576.49649,115219931618.7264,133130903639.13396,84367166564.6843,70095687928.61359
1984-04-30,143465816632.9341,41627535143.55829,66678960922.858696,203900798892.78995,144583911794.3424,84057078257.12517,57955891643.76751
1984-05-31,85829814081.98184,25795451638.20158,49118061049.965416,97791672117.88002,53765351696.29068,41583534435.56681,38077363497.24373
1984-06-30,-85207438915.2381,-29123101415.829376,5351899479.8356905,50169450303.11472,-35827726547.07817,3215672408.3691483,-6934615735.709863
1984-07-31,-166820189383.33893,-136225265057.07887,-107907659406.36606,-133448112187.43463,-126210030589.59608,-313697600009.08307,-181660835837.15854
1984-08-31,-35303107228.904434,-118541694841.18796,45699484379.96279,-118594872761.33995,-26166449984.481377,-154425117226.58575,-24674738642.3448
1984-09-30,55618772799.08867,28376598578.47056,55464169227.356316,81966698881.80453,17417448005.592533,39588347950.18265,12360159781.619379
1984-10-31,141869465753.30383,68699644015.84621,70596060544.8039,233938811718.40292,51324373795.418274,133952569337.41516,65524741858.970055
1984-11-30,117418000069.02953,26821553476.628716,58055899652.87596,221039584716.9038,61557128009.92546,204800832163.62106,51669315052.02572
1984-12-31,199370833464.5687,35704119802.14651,99423018528.75778,247227630610.6579,124516771902.32332,178917317304.0845,91993290913.08315
1985-01-31,191940762173.25327,38677548376.06948,95382166815.94347,268108986662.1726,136177948213.67,155426949351.5906,89769105859.21342
1985-02-28,188288452498.3733,49871598105.81883,87275109157.16219,207021315786.27863,147774992066.55618,135351001034.15968,76135559697.18721
1985-03-31,95612423985.43292,71317227543.40598,46594974566.06889,195103489174.4373,42619727875.20824,89301115811.5435,40926839561.12169
1985-04-30,67045188197.68415,29181408250.58699,27702904212.05755,61020137746.23681,29665880383.380596,37250499987.901405,23398020051.941776
1985-05-31,10236213609.657724,79178646858.73749,56219014906.05992,170239563374.19012,120741527474.77415,77188564979.06795,58892269680.08294
1985-06-30,-161837942366.93008,-68847902431.41635,-109962253653.68231,28957984365.7688,-63546081967.1659,-17975818740.67474,-120571635155.33142
1985-07-31,-164789244783.01337,-154779205845.60858,-102083084579.72055,-69544799855.56445,-64829116047.85092,-274096619344.69696,-179739102939.4858
