,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,975518609310.5916,565413396272.171,869932362221.4136,867865893319.0486,810784839416.4412,891293731602.9778,767424232024.2214
1980-02-29,939066776152.2609,364132738888.84155,731141347600.1952,822820810234.9077,887666370304.9414,831146288099.022,706379347680.0043
1980-03-31,809267334350.345,1030763875554.8716,693369910075.0587,781494249824.859,807031237999.0762,788815782361.9855,618845600264.6202
1980-04-30,931007643239.8179,442214626238.99054,798576814037.8225,947681156480.6677,855565404035.2957,895939718978.2582,671394653842.2439
1980-05-31,873436470085.3096,1400937437295.6648,973069892603.5948,629343733417.3411,929579044852.6909,920008020986.2722,430156579946.8493
1980-06-30,202370351634.9949,411892948351.4971,557340918349.1066,528851086441.5608,681560098406.8773,787719502485.322,-166989469924.321
1980-07-31,-995206714525.2969,493449373688.6874,59165304110.49417,295048902848.40436,579549195124.0342,382423521531.3716,-1131580401669.136
1980-08-31,-668145278022.2968,828494438681.764,-219022581940.73398,-258069951519.7841,-97105653137.38844,-183406303178.63382,-817145223943.1606
1980-09-30,553545551220.1881,1067206071455.8688,670288556509.8164,873619118650.1339,716857848086.9856,795386453440.3578,493803370847.2919
1980-10-31,875418148405.8905,561723882432.369,790040570884.8192,1031089481694.4126,877810757174.9545,989238719379.0868,687845730920.5627
1980-11-30,1473766121876.9314,1013004582163.7794,1327643861659.5505,1398233905240.697,1621209388320.4285,1392035232633.4333,1302267493898.2747
1980-12-31,718387203264.5961,456885044575.741,598742511605.4203,834420447324.7134,664137536184.7947,743680159037.4845,575326639781.9558
1981-01-31,834247146364.2994,298217859503.61847,722673205658.4911,1018794090099.2426,944586424591.6846,929525465983.7986,698936176153.1196
1981-02-28,698607985821.2755,302342182929.0419,533587037709.89624,679420110657.455,664076529259.0676,623166231468.9384,502300247608.30786
1981-03-31,410060748662.4534,1037378460091.163,293477739645.8407,489721939715.6679,282657709443.0275,458937830841.8562,227817663296.07257
1981-04-30,1154252561409.2546,934096601485.7683,1030874801653.2891,1280858620156.2747,1096082858490.4849,1213662694987.827,842722589768.4412
1981-05-31,851967969022.6971,379361938525.5421,901016814283.1544,829828189917.6534,710547955668.96,855603362926.4863,467053437905.0396
1981-06-30,-509723248124.6245,1472144871052.8777,-235211139163.25687,200949884416.45584,10242456088.535393,107742770494.57083,-776486639881.4922
1981-07-31,-504895780047.842,707313697148.3936,149494902663.6275,319104517873.189,293527324868.6785,221519747296.15463,-662421026169.7719
1981-08-31,33299998453.6206,61477451071.135826,731408186201.3757,650384824229.5176,865274689131.6133,907789188574.5111,82003507641.64127
1981-09-30,1096937260359.9827,2700522907763.8896,1197734209197.0715,1298602316728.8608,959800328294.8237,1228452354038.814,981032517164.2965
1981-10-31,1164958496680.581,944363696358.5839,1085059286858.0966,1310948207967.5647,1126900895755.592,1184895931808.8574,1032667726812.2368
1981-11-30,802486011711.8151,871876435036.4246,655002137723.2078,652495684565.293,790765958006.8683,707054271293.77,625354866428.3959
1981-12-31,802525838269.624,2209793895078.208,732906897430.2612,862827538398.1317,715824744457.2429,902498632570.8126,615730867191.6774
1982-01-31,563503842605.9796,914731360848.3381,507078172438.2548,561537667990.5729,620211553813.3252,516657077039.9368,477166654102.6297
1982-02-28,510142687653.0124,821059134359.6193,404453561196.10925,316328197038.02454,225747959776.73334,352663985983.3548,322814165576.07214
1982-03-31,496545923231.3962,798716837537.908,429701571577.82367,491907840528.19086,490348623266.32263,523725357995.52216,361520963726.25726
1982-04-30,1046234909277.9646,1102581898775.1475,1004185523762.15,1392246434818.161,1312127530149.9458,1272124339252.8103,865920150695.521
1982-05-31,655599464584.7063,260923025165.52222,701753933028.9641,731452993580.8538,598023553853.0402,835523984417.832,442836955405.50287
