,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,5532429044.233515,1409732110.258344,8446090429.70794,10714027413.228138,13691314642.763735,5275365143.855874,10022567954.273632
1980-02-29,5307310554.373389,1008475691.6731213,2246294392.5282097,5653600530.330456,1500437111.7009747,2841565686.099558,2933783116.260778
1980-03-31,5690411760.272632,3431259446.4192033,6842603055.475446,6959178685.09799,12716354360.624012,7208214483.280778,8711351877.466019
1980-04-30,5045274478.967742,563088771.2805535,3859504243.2016172,6747610196.1808815,8705619163.90154,5329083316.565766,3903689336.12396
1980-05-31,5126841131.743317,6992280625.406876,3124496828.4041038,6823707605.430977,1976383686.4879131,5408164404.688363,2270993073.5620227
1980-06-30,-33298864496.297634,-3242849969.042328,8385730231.506504,-703883169.0277944,-1215464586.3021832,9225315381.719116,5026149042.391474
1980-07-31,-118240555725.06105,-20536158409.24772,-30999564351.02274,-31258119169.641964,-8722076018.67845,2112740715.2682421,-59087207858.94708
1980-08-31,-68416519118.144394,-16148968595.639439,38107226668.896805,8048927868.150155,18103804055.21915,47247698497.93996,35176334801.29859
1980-09-30,9198137783.207531,8500705109.476321,9999326452.733393,7040839673.032644,12067116788.738052,13479476977.92863,6322501375.711153
1980-10-31,4392934166.809639,14007760523.547861,1520971795.2079558,2026628965.5986753,-2116280317.3720758,1489005163.336436,1421535828.9085903
1980-11-30,6951033248.829115,5931883522.410533,13447219119.917253,17116278328.750187,33759470253.47874,11206479048.712317,16263522258.56456
1980-12-31,4955804195.02147,885692587.5809513,2461883629.5776443,5149783657.067034,2803418892.432459,3338017252.72569,2940873061.4570527
1981-01-31,5222793358.431327,1031604264.1603003,2431345598.404171,2771127854.31285,1969618932.9414961,775360247.7817175,2694814343.1168203
1981-02-28,3591354239.1224146,4142996338.5599976,465267687.2445605,5028762853.560255,2741675085.2081313,924367198.1313411,763709592.679346
1981-03-31,5204286184.176793,867375739.6385012,2559346848.1817975,2671950952.838142,2552454057.6488395,3546694143.169745,2941738752.076345
1981-04-30,4812992318.461441,1002133316.4163355,2878302115.694629,6106509136.236951,4745166523.425794,2364741958.0414834,3059082848.214046
1981-05-31,6280780036.858001,7593945481.595703,8112868658.294564,9228649711.363699,12698069518.785622,11496087398.993263,7538766758.694428
1981-06-30,-89981822967.30832,-1647254401.7231078,-18661783166.911293,-16687166704.574802,-17269647771.867424,-42583843920.50973,-30303034475.72553
1981-07-31,-137209659275.95503,-20857236773.22978,-100495576443.90038,-47470352939.20153,-40286310895.489,-96877945275.00354,-136533508912.41623
1981-08-31,-84355555087.77275,-1307387890.0627086,26296693624.608074,10367191298.010464,55906556027.65894,68966407493.15723,17625419016.762405
1981-09-30,13511996690.202148,4689673787.477496,13685264590.173098,7419322056.772926,28307028178.927917,9323442463.005629,13930032311.034185
1981-10-31,8871711799.340475,11060414489.755707,10130593953.94944,14907228342.082123,16976288334.982069,19282931111.691177,11624779870.27124
1981-11-30,7010502047.927147,5445941389.39446,11968927983.136925,14055181234.065495,17177822831.185385,13648661815.001019,14529924994.570791
1981-12-31,5045678509.653966,5378344682.845239,2734236600.894489,5784318639.980691,-77145123.96155205,1566024376.7805054,3420278725.2472763
1982-01-31,5389863514.775608,8575668244.921621,6362652914.642463,7424231474.343908,14231047627.768087,2606047181.827687,7609738701.730087
1982-02-28,2194977009.4963245,4569861734.440073,46351199.935051896,1074345167.4547598,-955876200.7205349,1998750474.059275,374514814.8073959
1982-03-31,4233205332.7657614,13373403236.037466,3558137460.467387,4856695062.130178,7959006434.934642,2487223535.8590126,4351639072.861781
1982-04-30,4066853848.45612,3034526072.359699,3187381117.035328,2684603885.8642993,4195391617.944572,2593099174.4838743,3305325318.4951696
1982-05-31,3813415968.0582376,3062528136.1630235,2234749058.927768,6144321861.40189,886754493.5186163,2222284413.990561,912851649.1539739
1982-06-30,-92690352415.84538,-2712645721.633868,-18489420941.181084,-14725688581.27056,-27567049573.83734,3053845672.4799743,-34980791884.724625
1982-07-31,-129117521615.625,-14172128052.684626,-81089246208.8456,-44916897000.76312,-22434025620.57397,-52287159204.95267,-99795520383.57756
1982-08-31,-67032008019.440895,-11514220315.40131,7263458425.215354,-9657495668.14332,6745762530.521687,5514682188.6189575,-6378155318.505236
1982-09-30,8489400382.859298,8578222607.751478,12259868818.61111,11763482815.812466,22505648949.397118,8587948983.954586,13220491556.16265
1982-10-31,3385620470.844917,17614736280.997784,2172379183.437574,3957748514.19964,261469971.61245078,3077278448.765062,2606848847.687504
1982-11-30,4242692015.0185623,4852057032.285892,3850030014.5096164,5132723316.265511,3701154137.198485,2596087191.725363,4494963161.940509
1982-12-31,3085651956.2404613,6639974991.829916,1341609767.1457114,3262656233.384901,-29614755.049748234,1321563702.6751544,1550267657.5464263
1983-01-31,2514903793.3057523,3451989786.0504656,43892915.75804298,1385996559.3178031,-110490774.50071421,358983704.1970287,278250124.849044
1983-02-28,3689225383.499757,3527863895.255832,2275465957.358341,3044535783.513284,3895557371.820165,2927396415.1529202,2429232566.9245443
1983-03-31,3477302782.93545,4558477918.927151,3408130354.7520237,5209480167.143362,7345988774.424075,3255521702.216409,3728372651.81639
1983-04-30,4141679735.8077497,3508118458.366454,4096449604.230968,5659975323.089007,5044793591.786509,4858267720.366003,4121494281.315369
1983-05-31,5354511467.891916,-212816063.54505476,6999052134.842257,12067836876.377186,16206960502.66089,5077109672.908257,6341463610.305073
1983-06-30,-76671901377.6254,-3774236614.8010516,9624738096.006762,-9862012654.72288,-5905003916.747219,2526855030.0607977,-5024994032.38494
1983-07-31,-119370044018.61955,-13043492584.21768,-46486559069.34297,-45749586158.83792,-23416679803.343975,-44007857525.85212,-97023150260.17728
1983-08-31,-61124125303.905205,-6358580454.627342,2436444531.9959655,-15994145884.056435,-36787844.82692624,1834510506.166532,-19222129137.42092
1983-09-30,10876484488.359495,12399464090.166452,4816171031.840843,9844983447.794842,2476961353.082273,7490986581.891539,2385604298.6844296
1983-10-31,5910925889.595317,12435031585.753721,7925395491.666125,12712101443.13964,14460200850.533697,11297063446.116396,9297311205.364325
1983-11-30,6116015842.091937,2064525462.7835321,5092897147.707479,6913611826.785268,8481963984.097775,4634050965.911689,5760943334.250693
1983-12-31,5105961886.259471,1152271945.1505067,4133566016.0777087,5774913760.950221,4420101615.159587,7617306604.405598,5168603579.29459
1984-01-31,3136424646.3916945,823283172.6269717,745029348.9231553,2776644576.483955,375943716.68295443,1098184758.812642,796054600.4495173
