,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,473638674167.0725,585506167618.1587,427085365583.5023,505989238773.94214,12514017953.476028,591571074559.9805,535333351383.89496
1980-02-29,388717535448.37195,363721782876.2395,345923795605.3032,283525064810.92163,248789789229.3479,297918199112.22217,407926409906.1615
1980-03-31,503687891784.41187,837181632076.8416,457865501939.22864,878332833997.6984,907952994203.584,752755911202.0206,576266928835.3198
1980-04-30,687704155648.0448,387460037074.56573,692264285652.9705,802100100771.7537,1115431481855.6375,793889270505.7867,770583608816.5157
1980-05-31,64661551678.12969,531990283234.64856,205641346889.67517,251707828773.26523,180617625575.31082,241555214215.03964,106848770113.45964
1980-06-30,-33966025246.549713,153214334489.38388,97727842627.63383,183985682631.04285,107473207320.48482,85288991839.99612,29408902287.759377
1980-07-31,-654613576417.7665,130126135641.51137,-300410409656.81146,-348084318353.01385,-362750297531.2208,-824143957920.9515,-341416062636.295
1980-08-31,-598505526568.6703,277365566413.69617,-431478880572.3617,-533757747477.6696,-604966402033.6808,-681923930876.5841,-668467738233.4939
1980-09-30,127108746652.35306,550521564955.6661,201639061699.16388,74267608308.22226,85414038341.81386,143366574744.90842,-6319745188.342058
1980-10-31,319673859887.92096,167745391580.4986,275232140193.46106,147169996408.27423,218371714378.56152,197841082807.5208,272876773301.30774
1980-11-30,1027301173405.4651,592087547905.0338,754672817810.115,1152569739074.2815,1596770694424.023,1176886907462.509,895067222979.049
1980-12-31,691902645513.9878,311663208440.6235,667367464716.4764,940701294788.3247,1122379439742.8625,924560954502.1796,818186956852.7585
1981-01-31,891420914527.9039,425066993934.39703,632034459543.7391,824529409426.5723,1042431588891.4457,794958883372.1866,815124402355.6901
1981-02-28,557452503013.0164,247510940271.21368,461380065014.04877,450103386155.8625,467318246264.20013,438561809733.55566,568752103898.5537
1981-03-31,323616033004.81885,858719190677.8892,206132963316.47937,244120163969.30096,135208142637.56734,231458925924.85815,254981482020.77722
1981-04-30,1063133426552.0497,559613309495.4404,745109789024.7631,1077878513376.2955,1274865230155.6245,1053434369875.7863,846622687735.805
1981-05-31,742601966979.6998,291571564426.4953,689267466084.6117,573844030292.1879,1016110457712.4874,574260812365.0323,707118603458.7954
1981-06-30,-404864185556.87225,561162657181.7152,-249287648141.54745,255868889735.59146,-335342660448.3578,143068766543.50455,-55401881832.060814
1981-07-31,-724233862098.6177,509423247680.53156,-219310579020.04428,-455988547211.96423,-588587405165.827,-696794407245.5352,-231130312083.08954
1981-08-31,-432113326018.8615,-65604751679.939316,-258225394042.40347,-501755177963.20135,-397657383561.7275,-654672202280.6805,-525600119670.44104
1981-09-30,-120126050894.64935,950937435017.7402,86314992360.71008,-73450938301.49611,-254906247206.73444,-120146301430.21036,-190861949589.93997
1981-10-31,511935278562.6637,367941778996.793,401005773485.9637,402758306227.23364,422024192212.2083,456200201780.54956,501414126824.0527
1981-11-30,448514463370.21533,156119042226.1008,339800304151.63525,362020621567.9796,383151570991.5654,272361458009.77258,414851707455.2118
1981-12-31,361286396621.2912,813481429433.3395,208731373918.6061,204672638778.6221,180215444498.0305,199055913354.61203,290957839857.5285
1982-01-31,456082238583.3393,619052610140.4047,304410324152.258,496668602321.03864,393520473901.27625,427476963413.25934,392484938946.67645
1982-02-28,189556931512.7069,525911968167.1011,90041221162.84837,8517983904.221968,-64976688113.37103,39976673904.88709,124017850503.6661
1982-03-31,343369258413.2344,543229471091.4329,274764822076.6425,269003934793.69394,287349544722.8984,271001535036.54932,339071020574.0755
1982-04-30,779208584308.2385,247029917204.13535,568979948430.816,639161214513.9143,977442231053.6497,693403790456.0404,644745552103.6963
1982-05-31,121332055811.91261,143659979163.05878,155428175360.99518,25792548738.201206,29859850283.300156,85740935545.8659,89040572358.45126
1982-06-30,-433039802569.7251,613805749381.2183,-226210885676.25775,191078934142.51483,-223625437446.02518,29079044591.736927,-283976017275.81177
1982-07-31,-226417266355.6014,-420866639697.18195,177090986395.7655,104768773319.84001,-87077319931.9209,-415400484305.14575,33825755398.787792
1982-08-31,151432843135.72903,120828145620.30423,509923772271.8592,-160510927261.18015,512462301481.0364,92956791503.89713,253045540195.1795
1982-09-30,508038324079.2732,689304075440.1289,487474023620.38794,379578740776.6875,416874923571.7982,495839918447.50397,523911781356.9173
1982-10-31,330723479557.33813,438033681582.6337,249420695765.39862,72925238771.59242,282896771706.99567,177476270535.44662,320001960782.9155
1982-11-30,472547421054.7398,289406169819.64026,441642475956.672,456909085903.02673,460249260547.2238,448918818008.02966,511151195482.1676
1982-12-31,402996886321.51404,545940192643.0805,353871320583.66425,324519696845.73047,431550709919.3023,303511956231.47723,471904329597.33203
1983-01-31,377737132130.16235,554447330850.6063,300048168736.20905,390480719077.3281,473006211213.8714,425420006329.47156,399448953167.14954
1983-02-28,1687069294890.8616,566315307848.2197,1164758185244.34,1337430323164.6047,2040502222382.9573,1577160852451.0994,1460089925232.297
1983-03-31,619286266432.754,527730239154.0085,629107516119.6,752720766939.0887,653876347751.2673,755353621918.5481,725985415386.2682
1983-04-30,547860343242.0723,327917080712.97516,503585550783.94415,399050875751.21826,464090611274.2876,452099244267.4383,580362843903.5461
1983-05-31,284540417402.89374,327759672236.2343,433489199534.04205,457161743505.34155,448038830736.75916,497638835687.71387,409630344141.11066
1983-06-30,6633242971.774965,211463304827.81534,415354498467.1722,513932634911.5257,353187290395.7077,404682528719.9634,275328617440.64465
1983-07-31,-280440556951.56323,-43430483130.1606,245561675925.8073,27457855878.30927,-303982015758.306,-51657870798.805405,139491665586.75513
1983-08-31,246196988526.6603,-70346961655.55148,582674249223.4054,-16863813880.308708,691800795041.0023,269270566954.293,450599988044.7963
1983-09-30,576575149620.0251,865239025161.4403,650136214703.2825,331982585281.2502,308592877943.0693,484106486025.48883,641218662648.6357
1983-10-31,564987153006.7006,931960841320.0842,551592792543.3483,500694118652.48047,608463695868.2701,514228629194.4646,617696481304.847
1983-11-30,975162502842.6649,880860443892.0422,701828858050.0223,867950429133.7122,1318157186056.8735,859157971541.266,861682036361.9049
1983-12-31,433471178514.8681,178899912694.2115,375728647808.27057,361079707381.3031,431570812773.995,318948745881.81067,451645122257.56476
1984-01-31,481669024474.12537,507290941170.109,390622042332.36646,344454160941.27924,400184865616.51636,348602294835.3757,512398303011.8335
1984-02-29,232579554137.11,317028243567.0673,130849326256.92255,86879722252.48228,86154355299.31657,78387902415.37848,131187194047.67227
1984-03-31,831582451601.2998,262416027350.6014,596321997383.0214,901668163305.8827,988271136862.1815,842021561266.4274,737306470062.575
1984-04-30,274975693915.43945,82760791926.15012,175992807367.78717,210741446727.63507,118885502934.13011,125589248453.09932,172464221477.76746
1984-05-31,601354952150.0234,144821780862.43643,737640651515.6569,753928971121.6624,460440072579.4119,856572571791.2765,803978362412.7931
1984-06-30,-300251521047.1571,274903880079.71924,-129026846871.74655,29770427982.36152,-147168166403.13147,-107157668294.02263,-85466367038.21971
1984-07-31,-820881573126.9788,171772588593.45358,-342072481866.6045,-93924810556.78787,-596181196021.7415,-739952270281.5396,-435783470457.50934
1984-08-31,496494912296.0218,-413717259542.97107,938383757780.3154,213948941128.15146,450673808399.44006,376593167110.9256,826376861892.6476
1984-09-30,330671862196.61566,588566044406.2888,370946855048.972,49517820339.58234,152439680857.80533,136713370640.79576,140625299927.20795
1984-10-31,172826132916.122,925010155267.1532,47243831906.6785,-3841250659.346566,-89241821620.58347,23850313444.224895,38375637133.25521
1984-11-30,427110999039.2304,525159322078.1563,314657028204.3643,289347291791.72186,167268813585.00446,275542680043.5993,394554220170.37103
1984-12-31,527846926474.7611,778268831430.2384,471686751653.91846,597340641561.7874,443763471002.7388,561575520709.3613,605121046044.5508
1985-01-31,525822785759.16583,402128761145.6291,411183723552.77454,504598726656.36755,134570678351.26054,545951950482.493,573868277889.6908
1985-02-28,188535992245.0453,470707480379.1084,107230615439.75491,28792670319.273117,-125243882493.56651,28929211955.097294,126061177534.8058
1985-03-31,250487541473.52676,441067259869.94104,184377582858.2533,60776141843.32946,57731824175.13929,121007138562.38937,233436671752.41458
1985-04-30,340659915864.51044,347832034583.44745,243637989149.7997,240840091495.8002,300402589268.2384,239594415529.6193,259756590276.82864
1985-05-31,-15136717139.443995,679466417355.7407,158093333199.44034,67234326770.3784,-146663921013.28986,130539351248.70024,116675371932.37648
1985-06-30,-182959399286.2036,13229772883.127827,116850319820.33481,302530403771.5757,-72966496001.43663,4870317737.269254,3473941709.846007
1985-07-31,-508175416729.1027,-115893388968.46269,-260084437929.20834,-494440710041.52606,-258493073070.5629,-835228272087.1382,-392411069474.1697
1985-08-31,-524737894447.6812,-308886659057.8662,-273210202000.67932,-402786659587.091,-567469624455.053,-576670294900.9413,-423336319580.16846
1985-09-30,88573135846.59535,625133601320.3417,233516933957.45972,86862087151.83218,94776814665.92201,142563142709.17258,178245686229.757
1985-10-31,354634621366.57654,365033551243.3229,320275484220.44507,446338391636.947,467695058086.7744,370264444273.0005,357597967535.84534
1985-11-30,499323148823.88544,336189841734.6544,457055748672.3562,555958535886.6968,474999196682.984,655729339864.046,559621223637.367
1985-12-31,432863540891.83276,695146012979.7296,355288488455.7555,253918906458.92755,49888093638.70919,229145193500.46307,435834745411.28723
1986-01-31,754976132947.7528,829156067126.8353,678962997897.0862,825684231779.7849,1113942828927.0583,820333939121.9792,913555538942.0657
1986-02-28,613482130730.7267,498081012090.2182,385740093975.96985,453047157617.7008,228178228218.66052,479346900888.5307,482925474367.4744
1986-03-31,442468919465.71625,457630508424.74445,345976867602.12714,484884125129.5753,467079552517.5579,486080771156.9887,471574433825.6936
