,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,692888954705.6956,375872151443.1796,620468725180.4153,572638208857.7887,492393560146.31464,546312084872.1935,527065356833.55347
1980-02-29,612017845545.5852,197961970621.9488,476535276631.4089,506635687204.5733,524939932459.40186,512469308624.9147,460314255430.4458
1980-03-31,560650286124.5529,628698818820.8243,480107416263.7586,508651823357.4111,472360468707.30255,479006378730.3956,413647105244.42145
1980-04-30,716137183152.2241,246819074859.23486,618134428987.7715,763952319611.8469,628277088490.7981,627872457616.4425,517670346052.21545
1980-05-31,423660129118.63275,971852693310.1323,578245948663.8342,420790318836.66956,563845141689.1775,501996960701.40204,145579829546.2714
1980-06-30,5514672272.476265,192567549097.14362,260115125608.49692,337564209071.12714,500541599022.8846,212102487526.3591,-368938962750.3165
1980-07-31,-844346482662.9735,249187490208.08017,-264623731511.89972,96916416881.4052,375668442150.08307,-98826725432.81804,-1139946900720.836
1980-08-31,-653014522950.7274,347291127111.9955,-344091964760.7672,-360938327007.8464,-187055721124.5587,-401168596138.83826,-852076694276.3179
1980-09-30,407108560956.72455,664585363272.7386,519409276483.0973,603730463167.1874,511589128231.7088,500480982226.89056,356998892507.1231
1980-10-31,619775923996.0592,365609645741.8226,556575249394.2065,765861350458.7268,631688072168.3536,655234434011.2478,470379165082.98456
1980-11-30,1108818979855.2405,715765062893.2251,1005585744341.4497,1022880491374.4572,1136837919794.3242,946557079659.0419,973591967028.6259
1980-12-31,534294664293.58594,313745347175.8902,449673209247.07166,603664194022.1467,461044520403.7241,467440336772.5509,427389656875.3141
1981-01-31,634378780239.1041,224355047976.78955,565337790705.8345,826510481386.6473,695169995810.7153,662834217447.0476,549426782628.64056
1981-02-28,531131117736.5095,185900591914.76303,413328209390.0896,546948869229.91656,531312400808.5801,440711420758.8377,390872541577.6334
1981-03-31,277221165761.75964,716759299016.7777,211950668718.88562,330034902007.7342,181480903678.81134,298332536056.88965,155760834164.38644
1981-04-30,729931361483.8014,639741836825.7637,694248667221.7964,852529638932.4889,706586327621.3728,775000488047.5057,538148302251.4074
1981-05-31,572066471520.2247,241106530632.78696,644410881222.8021,677698507151.8156,463050424855.2939,567105764425.953,282948876199.4126
1981-06-30,-410651802899.5558,1001274707521.8839,-420792179548.0767,173694414516.76776,-6330638359.223605,129570647062.51901,-858648499462.2876
1981-07-31,-393051621357.47766,495608281639.08417,-226846111552.99774,34497451119.892876,149972973931.66003,-223633230966.33325,-873089811424.3597
1981-08-31,-85644663159.68106,-30356884073.89155,374513530175.95123,337151295713.97107,568849504028.0015,438204995797.57104,-202705258283.39996
1981-09-30,811096266190.7795,1801925806114.706,903013775670.4158,945650599769.0768,748668046205.5399,879667026420.9661,712443227804.1437
1981-10-31,903827601154.339,717079047021.0527,849317250806.147,1078095510914.9268,857171777904.6903,815869589576.228,800406764272.1705
1981-11-30,520726761863.621,593517128426.9443,434864211427.52466,374828804990.6088,450227341924.8735,416070071310.571,396020115312.107
1981-12-31,617766551913.9644,1509711738279.6035,583126445176.5094,700884227441.5063,517255057987.26953,683777047319.1212,482591094806.0928
1982-01-31,412388701680.935,627994365374.1791,372884694490.28687,409823571389.5937,362260921393.7118,358016807041.8999,344966971411.78955
1982-02-28,348711975209.591,543564943397.0805,273982903481.41724,163067696263.1062,55898681029.59812,206460421257.93073,207670091644.39297
1982-03-31,346347815904.3752,506233287954.4352,300305382562.8529,341159392992.30896,319797514801.1871,339386177616.66156,244144036870.41458
