,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,2365401907765.403,710647189827.2533,1492194097061.075,2029389371198.8352,3046636666736.9316,1919841968960.931,1581252416680.8438
1980-02-29,783179428957.0494,628651368997.685,688809034744.149,1077349103225.2058,1241375533214.8926,1009962829463.6819,700156861656.8053
1980-03-31,492277141993.4239,1343582859237.6929,408121666838.5444,673193183808.5623,611169868626.0764,487909681265.1433,430861491375.3719
1980-04-30,238610578569.5942,463328753198.1891,198190320581.32492,317576763533.6731,109631387800.96974,246771199643.65634,140073981548.6017
1980-05-31,192441665249.06058,113732234664.33974,382558617934.99274,619779484751.1211,466296641210.2877,484244398604.38416,220589617545.20612
1980-06-30,-63288631940.28961,18452957122.99779,101760028848.12305,561474278399.8643,357220477498.9806,601891321716.9204,-64783433579.650375
1980-07-31,-382899038415.79913,210072540832.9102,36729632522.97353,209079251491.7055,189621944983.67172,290669896148.34155,-365984867424.91187
1980-08-31,-628135215646.1158,307299435226.17865,-134708641128.51546,-323680239377.3299,-222435082731.17236,-128049965485.37527,-608822781513.7714
1980-09-30,224719069789.39035,806095911887.8881,373488413395.1709,454902634698.7438,599136350891.5239,484274336675.17303,213666627857.52908
1980-10-31,345775176268.2606,308939370624.49713,296713697802.6531,383539526086.3194,358623720928.40314,478005753592.3285,297445483250.71533
1980-11-30,641608129089.1377,661374838923.6213,572319366921.6404,644784672133.4873,732442161605.7726,627468470481.2009,565814860597.413
1980-12-31,279036765725.29004,565687366889.4248,253801729891.65726,418202258208.27313,284955931140.9928,354593136805.7563,236962222770.87662
1981-01-31,334158500694.8638,210781386316.9048,250332205321.283,432366129227.51416,300087369347.1,328017672547.9717,264550473467.37466
1981-02-28,422416259665.09045,414328022830.45636,296099460237.7908,404657515923.02673,362269357810.01215,355899943679.0294,300736681727.4683
1981-03-31,349677383453.59503,539959826765.11743,263608425195.26733,363989392194.04535,342316183755.1753,285160971198.4253,262288006558.54788
1981-04-30,756885132559.4935,419274713957.5891,638538391337.8744,853157326788.4414,927005114351.1307,739775082574.0691,600011624008.3102
1981-05-31,404671352247.13873,374516545337.4807,445491023951.1363,596592402484.8505,462426090471.0695,465437359368.7299,319754963433.1386
1981-06-30,-517699756160.2411,138307564833.84006,-154773578265.41672,200097333857.4523,23990757412.682144,264781744224.1017,-452498105063.6063
1981-07-31,-874788311205.0942,212906443753.0373,-346793910191.6349,-55735056846.767395,1108472698.6803403,-33407833136.04816,-850878508274.5795
1981-08-31,-453096063951.4238,187285266212.60757,99935877666.41183,-6752093341.373907,77375939611.63332,18763967348.008427,-533886043458.9823
1981-09-30,9021614574.06368,303361834170.1961,283147002803.044,291790506030.1477,43103709291.602646,272643777188.1832,27229595147.26135
1981-10-31,240191098916.84244,194722255303.49384,170769684126.10437,258720366947.31088,93696271853.65538,242984746085.50974,143113225237.14145
1981-11-30,660666079748.8699,428477289047.672,538093334400.45575,694046491766.9888,695579135067.3549,638162378035.28,551811123491.7483
1981-12-31,732039463986.6455,766151650164.5823,643460027700.0885,745516024818.7345,1073401407371.7385,803039481617.2528,645476380178.9854
1982-01-31,539747335286.9791,231161118525.42734,485643362309.66754,657312262613.1393,799484255818.4058,523648032947.2585,509306532706.69305
1982-02-28,2153824485601.543,616849505095.8763,1284239238251.4783,2066660972858.5938,2573118594861.4556,1602164629164.8462,1337018015581.3464
1982-03-31,605138319248.636,1031601481508.4901,523180568160.8673,1048560435542.2906,900039463464.4193,638407647302.2451,531643651690.66406
1982-04-30,355019524897.31573,488528252284.4663,325153291303.73114,394620677452.2895,420476895657.3047,250319739532.5588,283300934773.05914
1982-05-31,46157485073.809784,353431500647.2072,115584381946.73767,80196152487.70259,-7643144925.183824,53386968773.7397,34171456345.030777
1982-06-30,-122121273800.15761,382817129965.80664,43732677069.192986,384481058735.9207,269171001774.38345,405154949468.35693,-178273704032.28998
1982-07-31,-589550654160.256,-279607125905.358,-121532942018.06284,35564348836.58741,-130653623487.17995,36440107631.35754,-643881836786.083
1982-08-31,380660172913.28503,83647078283.77861,595143437364.9854,470814502218.668,520462834233.61945,719503072775.0243,129058794048.50754
1982-09-30,367344626440.05865,840585079296.2068,332226135255.91925,389000828087.43756,379505724051.53595,377717218245.1345,308164029926.78906
1982-10-31,1497590607481.1577,582644583862.6759,950084922233.0796,1566040935572.91,1691201153935.344,1274142690967.9126,966121178448.8916
1982-11-30,638841089171.0704,508344899735.9471,527398067444.4053,911514809252.0219,942922974900.8418,730815232919.7996,537008520110.5638
1982-12-31,1695120575391.0935,361816220066.9327,1158144469368.536,1883938266706.986,2375643666873.6294,1714018237654.3472,1237112561858.5405
1983-01-31,375250767981.01587,330630132816.98096,309841902228.4403,1327757786135.409,441650121901.189,552500857984.4271,313463474935.0169
1983-02-28,413161169671.70856,1324343923689.2722,340965546181.99976,322410388239.03864,213634399124.17267,351416835878.8683,337927332798.3324
1983-03-31,175880996084.1347,741893056210.2977,119549862175.2202,217455439415.44687,-17471628872.16757,146324799570.39883,104971025557.40625
1983-04-30,424283841254.424,285035407313.2782,385812830158.96906,419735127664.0543,342586012454.85754,377887027516.36096,347749697819.0876
1983-05-31,304829246179.48926,321298095121.3359,388417008830.1354,459964701521.2913,341918777534.5337,322557170120.9464,307197776424.7161
1983-06-30,-88878392344.6754,136356751881.28447,78716420270.39844,367193815641.9344,99241987409.42113,345320443636.13,-100531378965.21341
1983-07-31,-436649585003.08923,-58024845864.4511,36310068601.11714,84484327463.03447,83876909235.98819,134017598566.26804,-374309291905.83124
1983-08-31,100510509743.54303,-174589797209.0244,473172428683.8726,192439195056.88898,316293353956.15967,233438024632.01752,209382241122.2525
1983-09-30,930507403271.8455,932307929673.4087,794184917585.3239,621993598764.026,886350667860.1078,877929470961.3019,726674541142.2662
1983-10-31,592357593475.2958,1067494570381.103,539563817867.7382,757665820470.6823,864066729231.5281,639177159123.4395,540924919242.6548
1983-11-30,824602097976.5013,654436766612.9175,762850872692.6295,1039880074855.7649,750304949646.0223,794859962920.9741,789319376942.103
1983-12-31,316430333701.077,445638124695.0291,285883794306.54047,706274528904.4957,518925431345.6962,424021353486.549,275333404932.60815
1984-01-31,582446018840.7794,447589517837.16064,503643338077.3597,1214988659257.9453,986224902851.707,827407420399.794,535435225011.0821
1984-02-29,524846295319.6663,603597934697.4937,440308459465.7944,1440908053053.1333,669317941333.2156,680966484688.5073,419710142544.4644
1984-03-31,565736249873.7522,672157772204.3234,491688680649.3687,704565297780.1151,656426051153.4379,500346145093.07184,503988269164.2851
1984-04-30,693602403767.3677,395096618061.2556,545035320694.34985,803073838939.6663,875891120879.3142,586611110505.8589,536376024639.07324
1984-05-31,306332557010.0416,626134191220.7146,430658148663.2257,503036149980.4943,334354718216.6072,442455832083.4662,359938189454.79565
1984-06-30,183209796939.8714,457953360238.5274,314835590866.45087,419676402037.231,367019360697.9618,458378690981.762,103110652682.40955
1984-07-31,-513207353028.0231,34282032952.308178,-2774759719.6598444,198429267927.3961,-65028772250.836685,49961935287.4843,-431646134094.8359
1984-08-31,89543698634.90408,-309673648109.7877,658835396885.0454,267914579881.51785,365488964114.08734,350978224383.72675,305152238906.1563
1984-09-30,979484483441.7285,350318717168.8634,852909028134.0865,1260045339356.3274,1665311253187.2332,1150447189663.1392,596442251547.891
1984-10-31,845534579909.5282,682270465260.5526,640473680232.7291,1598023905057.9458,995495384831.1357,847844176707.1631,597134920663.9833
1984-11-30,1172129793512.0852,278825319617.5914,936335023727.1436,1783818333543.9028,1615182559261.5254,1413581059281.0515,965620276689.4613
1984-12-31,1860712602352.3147,417743883601.6078,1238494022567.6858,2053863248576.8037,2074771620357.3418,1756450580072.0771,1290726076192.5852
1985-01-31,2002945111538.637,253483410239.1659,1437278597166.0593,2073363845546.44,2533059481411.3784,1683408659177.6394,1451456917191.3342
1985-02-28,568350433573.7384,403640822526.43195,468768342586.4506,768597422029.3339,709653943476.1034,436280044887.5918,468288168370.2238
1985-03-31,1104559929265.2063,868352828396.1746,869261922775.5342,1295900972006.1946,1791211907705.7585,1188887686702.4968,892522107876.4192
1985-04-30,648347816641.5142,668472090251.266,479732641415.13617,683716265399.9843,731057772096.6724,527063242404.01843,462750031055.38983
1985-05-31,1093186419019.3425,1242222068771.9675,1098322943830.2937,1438796046975.7842,1867318201786.3862,1380412506475.9087,1007875427006.4381
1985-06-30,-427343228590.1389,198410681340.19672,-55850215263.65052,355615973964.7677,155939557867.03012,367210564977.8419,-276916822207.75214
1985-07-31,-452809705068.0601,-200526372283.5903,-103254856841.50142,367152894258.40894,220871667307.79407,261929557478.5687,-508972680022.4688
1985-08-31,-493420940872.73004,-233730073788.49942,152481676103.50015,-138599960251.8,56508404731.230835,95278551565.55034,-406986084786.14557
