,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,20790418008.744217,4784917819.451399,9738298536.396603,31570206634.555176,-15244876.428163782,21447737450.30876,8220658866.940828
1980-02-29,15145518253.1571,2066432143.9756162,5860873082.2781725,16860905474.916592,-1513296707.7716603,8537095605.101912,5271521125.400029
1980-03-31,18140140164.34771,3537965753.713901,7501709348.32407,15704231991.894192,-1548082755.1415553,7511162778.843673,6361752706.978543
1980-04-30,32428734744.77823,1546771045.8039687,13173094241.666388,41767214211.199,13509679172.219805,21800170872.863335,11080976960.799791
1980-05-31,-31844095141.544357,9546371550.359339,10410033073.130957,16170672345.533014,-22970862254.75918,12529211801.974712,-3719189672.709286
1980-06-30,-99465303375.29684,-50274309992.6851,-74607446148.26137,-2595037872.3242354,-41196373223.285904,-17236166673.391037,-70261902224.58305
1980-07-31,-188935930379.84344,-182585755034.5202,-236015778860.2543,-128462507922.82045,-75210769701.03748,-153109246816.61652,-293135059298.59735
1980-08-31,-149543363318.26132,-118363458335.76712,-95565637652.38538,-98718850841.15729,-51085570927.63712,-72801787086.39139,-132236377899.50096
1980-09-30,-6721288704.968769,-2023199942.209483,9314642220.37273,9219126001.74996,-1191716462.853748,4884066569.087951,905476976.9449593
1980-10-31,16051402496.633595,5197776976.621049,7558728106.40736,34412446430.59558,1065363073.304792,23907205969.630493,5981480880.081263
1980-11-30,31752926979.49546,11131298055.407463,17239162164.111366,79673851562.98375,13918014565.72116,49134607487.24435,16485101823.624144
1980-12-31,17527926672.447075,4241183105.233527,8240208607.20489,35064857009.63844,6820555672.449078,16430169690.280857,8234211171.982278
1981-01-31,22728772781.834423,1948718862.3074818,11139760343.033253,46239420107.64621,11866202236.42262,20999381020.71656,11054883714.834875
1981-02-28,20498887982.790714,2289133863.99585,8700779980.842426,26947034726.489895,10602429501.343956,11373788293.015675,8522249719.710808
1981-03-31,13684742622.807566,8144320332.78479,4576275835.999241,16494446063.829838,-13513804.1710759,5985639677.557282,3506233960.9957204
1981-04-30,22497181850.641727,4746023153.292137,8813566287.573034,38078235688.22608,59498702.55522205,14274444908.766363,5766057511.327473
1981-05-31,7622917115.461922,3468657820.2015185,13034510878.737158,33110440995.53699,1278449180.297795,22361147958.910515,6800650574.761734
1981-06-30,-150980325931.14145,-8455563682.027432,-207312889361.8332,-43615888117.38719,-73133943667.90016,-60618331939.03086,-162143093368.41827
1981-07-31,-183639508434.24472,-107318175547.73009,-261631036329.15686,-147146482833.0749,-84625910916.76245,-206037370243.48825,-273181714876.79327
1981-08-31,-114652801642.28209,-103323074349.75713,-46765956189.659195,-57015056978.670265,-18697979070.040997,-69156293785.6152,-102016923440.34506
1981-09-30,1219558364.217069,17812575637.601086,16349323371.008186,38623981165.87161,-1811508911.7786376,18194408953.835213,12539116900.3849
1981-10-31,28732203711.376743,13917374158.845213,17801373689.189735,64165158597.70261,14290024556.7553,43369725319.1235,16449895245.554178
1981-11-30,13572651361.623436,8335012754.175916,3734662718.960841,9120150079.002235,-5149540325.822862,5633608938.346936,3256792390.4101768
1981-12-31,20189378427.87293,19859680885.36397,11332130265.934055,34242476718.314804,-3453744209.838001,20877488104.88256,9396621752.674223
1982-01-31,20853296649.633053,13192214755.953943,12426071083.20964,48437246731.633,3801742681.7524443,21816246682.60225,11862386518.100065
1982-02-28,11312707450.524733,7337324453.757938,3481199244.4551682,3713704574.2958503,-4057485082.6001296,3675203192.1287026,2819691072.051619
1982-03-31,14591574749.244791,6380914549.978825,5542218175.336052,13923964454.305841,4044553919.815753,9518479323.865108,4792232904.305971
